Caroline Langsford, Sally Irvine
Anne Marie Studer, Nicole Hesse Cazaux
Ilse Buding, Veronica Mandel
Pam Teeguarden, Lenka Kodesova
Ada Bakker, Sally Holdsworth
Judith Szorenyi, Isabella Ortiz
Christiane Spinoza, Susan Biscoe
Eva Lundquist, Y Parshall
Maria Teresa Nasuelli, Lee Connelly
Mary Ann Eisel, Ilse Buding
Pam Teeguarden, Nell Truman
Kathleen Harter, Ada Bakker
Vlasta Kodesova, Judith Szorenyi
Christiane Spinoza, Kerry Harris
Betty Ann Grubb, Robin Lloyd
Alena Palmeova West, Eva Lundquist
Patti Hogan, Maria Teresa Nasuelli
Mary Ann Eisel, Pam Teeguarden
Kathleen Harter, Vlasta Kodesova
Betty Ann Grubb, Christiane Spinoza
Patti Hogan, Alena Palmeova West
Mary Ann Eisel, Kathleen Harter
Patti Hogan, Betty Ann Grubb
Mary Ann Eisel, Patti Hogan
Clelia Gaeta, Eva Zilakova
Ilona Kurzova, Martine Susini
Lea Pericoli, Sophie Sarwat
Ilona Kurzova, Clelia Gaeta
Marcella Barochova,  Mansour
Olga Morozova, Magda Ezzat
Lea Pericoli, Ilona Kurzova
Olga Morozova, Marcella Barochova
Olga Morozova, Lea Pericoli
Johanne Venturino, Robyn Legge
Irena Skulj, Andree Martin
Pepy Munslow,  Redrellio
Corinne Molesworth, Maylis Burel
Katalin Borka, Janine Michiels
Veronica Burton, Patricia Rime
Marijke Jansen, Rosalba Vido
Pamela Austin, Pepy Munslow
Suzana Gesteira, Irena Skulj
Jacqueline Rees Lewis, Nora Blom
Marilyn Greenwood, Marilyn Aschner
Trudy Groenman, Jill Cooper
Lexie Kenny, Olga Montano
Corinne Molesworth, Katalin Borka
Marijke Jansen, Veronica Burton
Pamela Austin, V Duday
Suzana Gesteira, Jacqueline Rees Lewis
Daniela Marzano, Marilyn Greenwood
Trudy Groenman, Eva Szabo
Gail Sherriff, A Polli
Corinne Molesworth, Lexie Kenny
Marijke Jansen, Pamela Austin
Suzana Gesteira, Daniela Marzano
Gail Sherriff, Trudy Groenman
Corinne Molesworth, Marijke Jansen
Gail Sherriff, Suzana Gesteira
Gail Sherriff, Corinne Molesworth
Eva Szabo, Lesley Wellerman
Odile De Roubin, Andree Martin
Daniela Marzano, Jacqueline Venturino
Veronica Burton, Irena Skulj
Eva Szabo, Marilyn Pryde
Lexie Kenny, Nicole Hesse Cazaux
Odile De Roubin, Annemiek Blom
Marilyn Greenwood, Katalin Borka
Daniela Marzano, Maylis Burel
Trudy Groenman, Pepy Munslow
Pamela Austin, Olga Montano
Jill Cooper, Jacqueline Rees Lewis
Marijke Jansen, Veronica Burton
Eva Szabo, Lexie Kenny
Odile De Roubin, Marilyn Greenwood
Marilyn Aschner, Daniela Marzano
Corinne Molesworth, Trudy Groenman
Pamela Austin, Suzana Gesteira
Jill Cooper, Erzsebet Polgar
Marijke Jansen, Eva Szabo
Marilyn Aschner, Odile De Roubin
Corinne Molesworth, Pamela Austin
Gail Sherriff, Jill Cooper
Marijke Jansen, Marilyn Aschner
Gail Sherriff, Corinne Molesworth
Gail Sherriff, Marijke Jansen
Ilona Kurzova, Clelia Gaeta
Mrs Gad, N Zaki
Marcella Barochova, Eva Zilakova
Olga Morozova, Ilona Kurzova
Marcella Barochova, Mrs Gad
Olga Morozova, Marcella Barochova
Kerry Harris, Paola Palacios
Robin Lloyd, Ada Bakker
Christiane Spinoza, Beatriz Del Corral
Betty Ann Grubb, Lenka Kodesova
Judith Szorenyi, Eva Lundquist
Mary Ann Eisel, Maria Teresa Nasuelli
Nell Truman, Alena Palmeova West
Robin Lloyd, Kerry Harris
Christiane Spinoza, Betty Ann Grubb
Kathleen Harter, Isabella Ortiz
Pam Teeguarden, Judith Szorenyi
Vlasta Kodesova, Ilse Buding
Patti Hogan, Sally Holdsworth
Mary Ann Eisel, Nell Truman
Robin Lloyd, Christiane Spinoza
Kathleen Harter, Pam Teeguarden
Patti Hogan, Vlasta Kodesova
Mary Ann Eisel, Robin Lloyd
Patti Hogan, Kathleen Harter
Mary Ann Eisel, Patti Hogan
Elena Subirats, Lucia Gongora
Annemiek Blom, Almut Sturm
Nicole Hesse Cazaux, Olga Montano
Pamela Austin, Kora Schediwy
Helga Masthoff, Agnes Graczol
Lea Pericoli, Erzsebet Polgar
Marijke Jansen, Amelie Hacks
Odile De Roubin, Lexie Kenny
Annemiek Blom, Nicole Hesse Cazaux
Suzana Gesteira, Pamela Austin
Gail Sherriff, Robyn Legge
Helga Masthoff, Marilyn Greenwood
Trudy Groenman, Irena Skulj
Marijke Jansen, Jacqueline Venturino
Odile De Roubin, Annemiek Blom
Gail Sherriff, Suzana Gesteira
Helga Masthoff, Trudy Groenman
Lea Pericoli, Marijke Jansen
Gail Sherriff, Odile De Roubin
Helga Masthoff, Lea Pericoli
Helga Masthoff, Gail Sherriff
Robin Lloyd, Astrid Suurbeek
Patti Hogan, Maria Teresa Nasuelli
Nell Truman, Christiane Spinoza
Pam Teeguarden, Alena Palmeova West
Mary Ann Eisel, Lenka Kodesova
Peaches Bartkowicz, Judith Szorenyi
Robin Lloyd, Patti Hogan
Nell Truman, Ada Bakker
Pam Teeguarden, Mary Ann Eisel
Peaches Bartkowicz, Robin Lloyd
Nell Truman, Pam Teeguarden
Peaches Bartkowicz, Nell Truman
Vlasta Kodesova, Isabella Ortiz
Stephanie Defina, Kerry Harris
Ilse Buding, Toni Novack
Judy Alvarez, Sally Holdsworth
Valerie Ziegenfuss, Isabel Fernandez De Soto
Eva Lundquist, Judith Szorenyi
Kathleen Harter, Patricia Reese
Nancy Richey, Vlasta Kodesova
Stephanie Defina, Ilse Buding
Valerie Ziegenfuss, Judy Alvarez
Kathleen Harter, Eva Lundquist
Nancy Richey, Stephanie Defina
Valerie Ziegenfuss, Kathleen Harter
Nancy Richey, Valerie Ziegenfuss
Evonne Goolagong, A J Williams
Joyce Williams, Rita Bentley
Shirley Bloomer, Mrs P J Northern
Corinne Molesworth, Jill Cooper
Evonne Goolagong, Alex Cowie
Joyce Williams, Shirley Bloomer
Evonne Goolagong, Corinne Molesworth
Evonne Goolagong, Joyce Williams
Mabel Vrancovich,  Palla
Graziella Perna, Carol Ann Kalogeropoulos
Monica Giorgi, Mabel Vrancovich
Marie Pinterova, Graziella Perna
Marie Pinterova, Monica Giorgi
Jill Cooper, Marilyn Bevan
Joyce Williams, S Mattin
Lindsey Beaven, Patricia Edwards
Jackie Fayter, Janice Townsend
Rita Bentley, Shirley Bloomer
Jill Cooper, Lesley Wellerman
Corinne Molesworth, Jenny Helliar
Veronica Burton, Alex Cowie
Evonne Goolagong, Mandy Holdsworth
Joyce Williams, Lindsey Beaven
Rita Bentley, Jackie Fayter
Jill Cooper, Corinne Molesworth
Evonne Goolagong, Veronica Burton
Joyce Williams, Rita Bentley
Evonne Goolagong, Jill Cooper
Joyce Williams, Evonne Goolagong
Valerie Ziegenfuss, Christiane Spinoza
Pam Teeguarden, Ilse Buding
Stephanie Defina, Ellen Schoengold
Kerry Harris, Vlasta Kodesova
Patti Hogan, Ada Bakker
Peaches Bartkowicz, Nell Truman
Robin Lloyd, Isabella Ortiz
Carole Graebner, Sally Holdsworth
Kathleen Harter, Molly Romeu
Maria Teresa Nasuelli, Wendy Hitt
Mary Ann Eisel, Judith Szorenyi
Valerie Ziegenfuss, Eva Lundquist
Stephanie Defina, Pam Teeguarden
Patti Hogan, Kerry Harris
Peaches Bartkowicz, Robin Lloyd
Kathleen Harter, Carole Graebner
Maria Teresa Nasuelli, Maria Ayala
Tory Ann Fretz, Alena Palmeova West
Valerie Ziegenfuss, Mary Ann Eisel
Stephanie Defina, Patti Hogan
Peaches Bartkowicz, Kathleen Harter
Tory Ann Fretz, Maria Teresa Nasuelli
Valerie Ziegenfuss, Stephanie Defina
Peaches Bartkowicz, Tory Ann Fretz
Peaches Bartkowicz, Valerie Ziegenfuss
Joan Wilshere, Gaby Tremus
Karin Seltenreich, Marilyn Greenwood
I Krauss, V Tauphillat
Odile De Roubin, Melinda Duday
Trudy Groenman, Irena Skulj
Marijke Jansen, Joan Wilshere
Erzsebet Polgar, Almut Sturm
Katalin Borka, Karin Seltenreich
Suzana Gesteira, I Krauss
Marilyn Aschner, Nora Blom
V Cantenot, Helga Masthoff
Trudy Groenman, Odile De Roubin
Marijke Jansen, Erzsebet Polgar
Katalin Borka, Suzana Gesteira
Marilyn Aschner, V Cantenot
Marijke Jansen, Trudy Groenman
Katalin Borka, Marilyn Aschner
Katalin Borka, Marijke Jansen
Pamela Austin, Graziella Perna
Daniela Marzano, Madeleine Pegel
Mabel Vrancovich, Carol Ann Kalogeropoulos
Pamela Austin, Ulla Sandulf
Marie Pinterova,  Giarrusso
Daniela Marzano, Mabel Vrancovich
Christina Sandberg,  Biondi
Pamela Austin, Marie Pinterova
Christina Sandberg, Daniela Marzano
Christina Sandberg, Pamela Austin
Billie Jean King, Rosie Casals
Irena Skulj, I Krauss
Suzana Gesteira, Martha Wolf Peterdy
Janine Lieffrig, Melinda Duday
Marilyn Aschner, V Tauphillat
Odile De Roubin, D Hugard
Anne Marie Studer, P Moore
Rita Felix, Christiane Mercelis
Cecilia Martinez, Gaby Tremus
Almut Sturm, C Parodi
Monique Van Haver, Nicole Hesse Cazaux
Gail Sherriff, Andree Martin
Suzana Gesteira, Janine Lieffrig
Marilyn Aschner, R Paillett
Jacqueline Rees Lewis, Baerbel Wuestl
Katalin Borka, Joan Wilshere
Odile De Roubin, O Stojanovic
Anne Marie Studer, Johanne Venturino
Betty Stove, Rita Felix
Daniele Bouteleux, Almut Sturm
Erzsebet Polgar, Marianne Kindler
Gail Sherriff, Irena Skulj
Marilyn Aschner, Suzana Gesteira
Katalin Borka, Jacqueline Rees Lewis
Helga Masthoff, J Couwes
Odile De Roubin, Anne Marie Studer
Betty Stove, Cecilia Martinez
Daniele Bouteleux, Erzsebet Polgar
Julie Heldman, F Cyssaux
Gail Sherriff, Marilyn Aschner
Helga Masthoff, Katalin Borka
Odile De Roubin, Betty Stove
Julie Heldman, Daniele Bouteleux
Helga Masthoff, Gail Sherriff
Julie Heldman, Odile De Roubin
Helga Masthoff, Julie Heldman
Joyce Williams, Jackie Fayter
Jill Cooper, Rita Bentley
Corinne Molesworth, Lindsey Beaven
Evonne Goolagong, Veronica Burton
Joyce Williams, Jill Cooper
Evonne Goolagong, Corinne Molesworth
Joyce Williams, Evonne Goolagong
Ulla Sandulf, Graziella Perna
Pamela Austin, Daniela Marzano
Ulla Sandulf, Ana Maria Arias
Mabel Vrancovich, Madeleine Pegel
Christina Sandberg, Carol Ann Kalogeropoulos
Pamela Austin, Ulla Sandulf
Christina Sandberg, Mabel Vrancovich
Christina Sandberg, Pamela Austin
Alena Palmeova West, Margaret Cooper
Sue Stap, Tish Adams
Stephanie Defina, Mona Guerrant
Isabel Fernandez De Soto, Patricia Reese
Judy Alvarez, Becky Reese
Kerry Harris, Judith Szorenyi
Sue Stap, Alena Palmeova West
Stephanie Defina, Ada Bakker
Valerie Ziegenfuss, Lenka Kodesova
Isabel Fernandez De Soto, Vlasta Kodesova
Judy Alvarez, Tory Ann Fretz
Nancy Richey, Kerry Harris
Stephanie Defina, Sue Stap
Isabel Fernandez De Soto, Valerie Ziegenfuss
Judy Alvarez, Mary Ann Eisel
Nancy Richey, Stephanie Defina
Judy Alvarez, Isabel Fernandez De Soto
Nancy Richey, Judy Alvarez
Isabella Ortiz, Sally Holdsworth
Eva Lundquist, Maria Teresa Nasuelli
Peaches Bartkowicz, Isabella Ortiz
Nell Truman, Ilse Buding
Christiane Spinoza, Robin Lloyd
Kathleen Harter, Eva Lundquist
Peaches Bartkowicz, Nell Truman
Kathleen Harter, Christiane Spinoza
Peaches Bartkowicz, Kathleen Harter
Barbara Walsh, Di Riste
Marilyn Aschner, Marilyn Greenwood
Linda Geeves, Sue Edgecombe
Janice Townsend, Jackie Pallister
Lesley Charles, Lesley Wellerman
Penny Moor, E Nottingham
Jackie Fayter, Helen Kayser
Fay Toyne, Jenny Stapleton
Veronica Burton, Helen Sheedy
Jenny Helliar, Lindsay Blachford
Denise Staniszewski, Alison Fraser Black
Cherry Panton, L Brooks
Rosemary Pearson, Penelope Hardgrave
Dianne Oakley Grundy, Mrs J E Bone
Wendy Hall, Jean Fyfe
Evonne Goolagong, Alex Cowie
Wendy Slaughter, Frances Candy
Patricia Edwards, Pepy Munslow
Barbara Walsh, Glynis Coles
Janice Townsend, Lesley Charles
Penny Moor, Jackie Fayter
Marilyn Pryde, Linda Geeves
Jenny Helliar, Denise Staniszewski
Corinne Molesworth, Nicky Phelan
Lindsey Beaven, Wendy Hall
Jill Cooper, Frances Luff
Adrienne Avis, Barbara Cleary
Evonne Goolagong, Wendy Slaughter
Patricia Edwards, Barbara Walsh
Janice Townsend, Penny Moor
Marilyn Aschner, Marilyn Pryde
Shirley Bloomer, Veronica Burton
Fay Toyne, Jenny Helliar
Jill Cooper, Lindsey Beaven
Corinne Molesworth, Adrienne Avis
Evonne Goolagong, Patricia Edwards
Marilyn Aschner, Janice Townsend
Shirley Bloomer, Fay Toyne
Jill Cooper, Corinne Molesworth
Evonne Goolagong, Marilyn Aschner
Jill Cooper, Shirley Bloomer
Evonne Goolagong, Jill Cooper
Laura Dupont, Ada Bakker
Nell Truman, Lenka Kodesova
Vlasta Kodesova, Beverly Cansler
Nancy Richey, Ilse Buding
Donna Floyd, Judith Szorenyi
Stephanie Defina, Christiane Spinoza
Laura Dupont, Nell Truman
Vlasta Kodesova, Kathleen Harter
Robin Lloyd, Kerry Harris
Alena Palmeova West, Maria Teresa Nasuelli
Mary Ann Eisel, Eva Lundquist
Nancy Richey, Donna Floyd
Laura Dupont, Stephanie Defina
Vlasta Kodesova, Robin Lloyd
Alena Palmeova West, Mary Ann Eisel
Nancy Richey, Laura Dupont
Alena Palmeova West, Vlasta Kodesova
Nancy Richey, Alena Palmeova West
Suzana Gesteira, Pamela Austin
Mabel Vrancovich, Lexie Kenny
Daniela Marzano, Maria Monami
Ana Maria Arias, Cecilia Martinez
Suzana Gesteira, Mabel Vrancovich
Ana Maria Arias, Daniela Marzano
Suzana Gesteira, Ana Maria Arias
Judith Dibar, Helen Amos
Janice Townsend, Janice Tindle
Linda Mcdonald, Rosemary Pearson
Sandra Walsham, Marilyn Greenwood
L Cronin, C Beaven
Patricia Edwards, Barbara Cleary
Corinne Molesworth, Jenny Helliar
Judy Congdon, Mrs R A Morgan
Fay Toyne, Cherry Panton
Barbara Walsh, L Brooks
Veronica Burton, C Roberts
Sannie Gouws, Alison Fraser Black
Helen Sheedy, Stephanie Bardsley
Brenda Kirk, Susan Morgan
Rita Bentley, Mrs M G M Bowen
Susan Alexander, Sue Imhoff
Wendy Hall, Nicky Phelan
Evonne Goolagong, E C Sharpe
Lindsey Beaven, Pepy Munslow
Helen Kayser, Penny Moor
Jill Cooper, Marilyn Pryde
Jean Fyfe, Frances Luff
Marilyn Aschner, Alex Cowie
Ann Jones, Lesley Wellerman
Margaret Court, Robyn Legge
Adrienne Avis, Sarah Huntington
Janice Townsend, Linda Mcdonald
Sandra Walsham, L Cronin
Patricia Edwards, Patricia Cody
Corinne Molesworth, Judy Congdon
Fay Toyne, Barbara Walsh
Veronica Burton, Sannie Gouws
Joyce Williams, Jackie Fayter
Jane Ohara, Helen Sheedy
Brenda Kirk, Rita Bentley
Susan Alexander, Wendy Hall
Evonne Goolagong, Lindsey Beaven
Helen Kayser, Jill Cooper
Shirley Bloomer, Jean Fyfe
Ann Jones, Marilyn Aschner
Margaret Court, Adrienne Avis
Janice Townsend, Sandra Walsham
Patricia Edwards, Corinne Molesworth
Fay Toyne, Veronica Burton
Joyce Williams, Jane Ohara
Brenda Kirk, Susan Alexander
Evonne Goolagong, Helen Kayser
Ann Jones, Shirley Bloomer
Margaret Court, Janice Townsend
Patricia Edwards, Fay Toyne
Joyce Williams, Brenda Kirk
Ann Jones, Evonne Goolagong
Margaret Court, Patricia Edwards
Ann Jones, Joyce Williams
Margaret Court, Ann Jones
Laura Rossouw, Andree Martin
Judith Dibar, Eleanora Dumitrescu
Helen Amos, Ecaterina Horsa
Judith Dibar, Helen Amos
Kristien Shaw, Wendy Appleby
Whitney Grant, Bess Hagey
Linda Lewis, Janice Metcalf
Laurie Tenney, Marita Redondo
Kristien Shaw, Whitney Grant
Laurie Tenney, Linda Lewis
Kristien Shaw, Laurie Tenney
Donna Floyd, Kathy Kuykendall
Sue Epstein, Donna Ganz
Sue Epstein, Donna Floyd
Betty Ann Grubb, Ann Lebedeff
Gail Hansen, Mimi Wheeler
Sharon Walsh Pete, Tam Oshaughnessy
Dodo Cheney, Stephanie Grant
Janet Newberry, Maricaye Christenson
Eliza Pande, Mary Struthers
Kristien Shaw, Anita Plate
Pixie Lamm, Cynthia Ann Thomas
Betty Ann Grubb, Gail Hansen
Sharon Walsh Pete, Dodo Cheney
Janet Newberry, Eliza Pande
Pixie Lamm, Kristien Shaw
Sharon Walsh Pete, Betty Ann Grubb
Janet Newberry, Pixie Lamm
Janet Newberry, Sharon Walsh Pete
Pam Teeguarden, Helen Amos
Pamela Austin, Patricia Edwards
Cecilia Martinez, Wendy Overton
Pam Teeguarden, Patti Hogan
Marie Pinterova, Pamela Austin
Jill Cooper, Cecilia Martinez
Corinne Molesworth, Daphne Pattison
Pam Teeguarden, Marie Pinterova
Corinne Molesworth, Jill Cooper
Corinne Molesworth, Pam Teeguarden
Jeanne Olsen, Louise Gengler
Diane Brooks, Judy Leong
Esme Emmanuel, Brenda Garcia
Kate Latham, Chris Matison
Eliza Pande, Jeanne Olsen
Barbara Downs, Diane Brooks
Gail Hansen, Ann Kiyomura Hayashi
Esme Emmanuel, Kate Latham
Eliza Pande, Barbara Downs
Gail Hansen, Mimi Wheeler
Sharon Walsh Pete, Marcie Louie
Eliza Pande, Esme Emmanuel
Sharon Walsh Pete, Gail Hansen
Eliza Pande, Sharon Walsh Pete
Betty Ann Grubb, Peaches Bartkowicz
Kristy Pigeon, Stephanie Defina
Valerie Ziegenfuss, Karen Susman
Denise Carter, Mary Ann Eisel
Kristy Pigeon, Betty Ann Grubb
Denise Carter, Valerie Ziegenfuss
Kristy Pigeon, Denise Carter
Adrienne Avis, Penelope Hardgrave
Shirley Bloomer, Sannie Gouws
Patricia Cody, Marilyn Pryde
Lindsey Beaven, Helen Kayser
Corinne Molesworth, Brenda Kirk
Karen Krantzcke, Frances Luff
Jill Cooper, Lynn Mcdonald
Sarah Huntington, Robyn Legge
Gail Sherriff, Sally Holdsworth
Evonne Goolagong, Sue Imhoff
Marie Pinterova, Marilyn Aschner
Wendy Tomlinson, Penny Moor
Pepy Munslow, J Matthews
Helen Sheedy, Mrs G M Blundell
Pamela Austin, Caroline Leather
Daphne Pattison, G Armstrong
Patti Hogan, L A Lesch
Margaret Court, Marilyn Bevan
Veronica Burton, Sue Garrett
Shirley Bloomer, Adrienne Avis
Patricia Cody, Lindsey Beaven
Judy Tegart, Corinne Molesworth
Patricia Edwards, Pepy Munslow
Karen Krantzcke, Jill Cooper
Lesley Wellerman, Sarah Huntington
Gail Sherriff, Wendy Overton
Helen Sheedy, Pamela Austin
Evonne Goolagong, Farel Footman
Marie Pinterova, Daphne Pattison
Patti Hogan, Wendy Tomlinson
Patricia Walkden, E Armstrong
Pam Teeguarden, C Beaven
Margaret Court, Veronica Burton
Shirley Bloomer, Patricia Cody
Judy Tegart, Patricia Edwards
Karen Krantzcke, Lesley Wellerman
Gail Sherriff, Helen Sheedy
Evonne Goolagong, Marie Pinterova
Patti Hogan, Alex Cowie
Patricia Walkden, Pam Teeguarden
Margaret Court, Shirley Bloomer
Judy Tegart, Karen Krantzcke
Gail Sherriff, Evonne Goolagong
Patti Hogan, Patricia Walkden
Margaret Court, Judy Tegart
Patti Hogan, Gail Sherriff
Margaret Court, Patti Hogan
Janice Townsend, Barbara Walsh
Maria Eugenia Guzman, Marilyn Greenwood
Janice Townsend, Maria Eugenia Guzman
Janice Metcalf, Mimi Wheeler
Vicky Smouse, Whitney Grant
Wendy Appleby, Doreen Irish
Cynthia Ann Thomas, Louise Gengler
Marita Redondo, Laurie Tenney
Linda Lewis, Susan Tenney
Janice Metcalf, Vicky Smouse
Barbara Green, Sally Ride
Donna Judd, Chris Matison
Janet Newberry, Wendy Appleby
Evelyn Houseman, Cynthia Ann Thomas
 Austin, Ann Lebedeff
Marita Redondo, Linda Lewis
Janice Metcalf, Mary Struthers
Barbara Green, Tina Mochizuki
Dodo Cheney, Donna Judd
Kristien Shaw, Tam Oshaughnessy
Janet Newberry, Evelyn Houseman
 Austin, Marita Redondo
Barbara Green, Janice Metcalf
Kristien Shaw, Dodo Cheney
Janet Newberry,  Austin
Kristien Shaw, Barbara Green
Janet Newberry, Kristien Shaw
Nancy Richey, Barbara Downs
Esme Emmanuel, Marcie Louie
Valerie Ziegenfuss, Cathie Gagel
Carolyn Ishii, Stephanie Defina
Sharon Walsh Pete, Carole Graebner
Denise Carter, Patty Polenski
Kathleen Harter, Gail Hansen
Kristy Pigeon, Jutta Beymer
Nancy Richey, Esme Emmanuel
Valerie Ziegenfuss, Carolyn Ishii
Denise Carter, Sharon Walsh Pete
Kathleen Harter, Kristy Pigeon
Nancy Richey, Valerie Ziegenfuss
Denise Carter, Kathleen Harter
Nancy Richey, Denise Carter
Marcie Louie, Kate Latham
Barbara Downs, Judy Leong
Marcie Louie, Barbara Downs
Louise Gonnerman, Jennifer Louis
Vilja Tamusz, Donna Stockton
Pat Stewart, Betty Adler
Louise Gonnerman, Sylvia Hooks
Pat Stewart, Vilja Tamusz
Louise Gonnerman, Pat Stewart
Maria Eugenia Guzman, Barbara Walsh
Johanne Venturino, Wendy Hall
Sandra Walsham, Marilyn Greenwood
Janice Townsend, Judy Congdon
Maria Eugenia Guzman, Johanne Venturino
Sandra Walsham, Janice Townsend
Maria Eugenia Guzman, Sandra Walsham
Suzana Gesteira, Michele Kahn
Wendy Overton, Evelyne Terras
Winnie Shaw, Pam Teeguarden
Francoise Durr, Ilse Buding
Marianna Brummer, Lisette Sliepen
Julie Heldman, Nicole Ohn
Peaches Bartkowicz, Suzana Gesteira
Winnie Shaw, Wendy Overton
Francoise Durr, Mary Ann Eisel
Julie Heldman, Marianna Brummer
Peaches Bartkowicz, Winnie Shaw
Julie Heldman, Francoise Durr
Julie Heldman, Peaches Bartkowicz
Evelyne Terras, Anne Marie Larue
Kerry Reid, Helen Sheedy
Penny Moor, Elizabeth Ernest
Jackie Fayter, Lesley Wellerman
Rita Bentley, Veronica Burton
Alex Cowie, Judy Congdon
Janice Tindle, Helen Kayser
Kerry Reid, Penny Moor
Pamela Austin, Jackie Fayter
Janice Townsend, Marilyn Greenwood
Farel Footman, Rita Bentley
Sandra Walsham, Alex Cowie
Wendy Hall, Marilyn Aschner
Janice Tindle, Maria Eugenia Guzman
Kerry Reid, Pamela Austin
Farel Footman, Janice Townsend
Wendy Hall, Sandra Walsham
Susan Alexander, Janice Tindle
Kerry Reid, Farel Footman
Susan Alexander, Wendy Hall
Kerry Reid, Susan Alexander
Patricia Walkden, Patricia Cody
Helen Gourlay, Sally Holdsworth
Helen Gourlay, Patricia Walkden
Farel Footman, Helen Sheedy
Carole Graebner, Di Riste
Joyce Williams, Jean Fyfe
Patricia Cody, Sally Holdsworth
Evonne Goolagong, Sandra Okin
Nell Truman, Marilyn Pryde
Shirley Bloomer, Linda Mcdonald
Winnie Shaw, Jackie Fayter
Ann Jones, Clare Colman
Daphne Pattison, Heather Allen
Corinne Molesworth, Robin Lloyd
Carole Graebner, Farel Footman
Joyce Williams, Veronica Burton
Rita Bentley, Patricia Cody
Evonne Goolagong, Dianne Oakley Grundy
Sharon Walsh Pete, Nirupama Vasant
Nell Truman, Shirley Bloomer
Patti Hogan, Sheila Burley
Lindsey Beaven, Sannie Gouws
Winnie Shaw, Helen Kayser
Kerry Reid, Gail Hansen
Valerie Ziegenfuss, Alex Cowie
Patricia Edwards, Robyn Legge
Mary Ann Eisel, Pepy Munslow
Ann Jones, Daphne Pattison
Corinne Molesworth, Carole Graebner
Joyce Williams, Rita Bentley
Evonne Goolagong, Sharon Walsh Pete
Patti Hogan, Nell Truman
Winnie Shaw, Lindsey Beaven
Valerie Ziegenfuss, Kerry Reid
Mary Ann Eisel, Patricia Edwards
Ann Jones, Corinne Molesworth
Joyce Williams, Evonne Goolagong
Patti Hogan, Winnie Shaw
Mary Ann Eisel, Valerie Ziegenfuss
Ann Jones, Joyce Williams
Patti Hogan, Mary Ann Eisel
Ann Jones, Patti Hogan
Maria Eugenia Guzman, Adrienne Avis
Wendy Hall, Elizabeth Ernest
Frances Luff, Jenny Helliar
Marilyn Greenwood, Maria Eugenia Guzman
Frances Luff, Wendy Hall
Marilyn Greenwood, Barbara Walsh
Marilyn Greenwood, Frances Luff
Stephanie Defina, Elena Subirats
Linda Tuero, Barbara Grubb
Betty Ann Grubb, Kathy Kraft
Janet Newberry, Janet Thomas
Stephanie Defina, Linda Tuero
Janet Newberry, Betty Ann Grubb
Stephanie Defina, Janet Newberry
Maria Eugenia Guzman, Wendy Tomlinson
Marilyn Pryde, Patricia Cody
Brenda Kirk, Robin Lloyd
Frances Luff, Marianna Brummer
Adrienne Avis, Sarah Huntington
Judith Salome, Helen Sheedy
Penelope Hardgrave, A M Williams
Ann Jones, Penny Moor
Pamela Austin, Pepy Munslow
Cecilia Martinez, Sue Imhoff
Jackie Fayter, Helen Kayser
Maria Eugenia Guzman, Adrienne Avis
Ana Maria Arias, Marilyn Pryde
Lexie Kenny, Kerry Harris
Joyce Williams, Robyn Legge
Frances Luff, Mary Mcanally
Corinne Molesworth, Penelope Hardgrave
Marilyn Greenwood, Shirley Bloomer
Di Riste, Mrs J A Campion
Judith Salome, Helen Sheedy
Ann Jones, Pamela Austin
Cecilia Martinez, Jackie Fayter
Maria Eugenia Guzman, Ana Maria Arias
Brenda Kirk, Lexie Kenny
Joyce Williams, Frances Luff
Corinne Molesworth, Marilyn Greenwood
Esme Emmanuel, Di Riste
Mary Ann Eisel, Judith Salome
Ann Jones, Cecilia Martinez
Maria Eugenia Guzman, Brenda Kirk
Esme Emmanuel, Mary Ann Eisel
Joyce Williams, Corinne Molesworth
Ann Jones, Maria Eugenia Guzman
Joyce Williams, Esme Emmanuel
Ann Jones, Joyce Williams
Peggy Michel, Rita Bentley
Nirupama Vasant, Lesley Wellerman
Kerry Reid, Wendy Overton
Evonne Goolagong, Linda Mcdonald
Winnie Shaw, Marilyn Bevan
Valerie Ziegenfuss, Patricia Edwards
Peggy Michel, Daphne Pattison
Alex Cowie, Sharon Walsh Pete
Sally Holdsworth, Nirupama Vasant
Nell Truman, Gail Hansen
Denise Carter, Mrs A Peralta
Carole Graebner, Elizabeth Ernest
Patti Hogan, Gillian Wotherspoon
Kerry Reid, Sannie Gouws
Kristy Pigeon, Evonne Goolagong
Winnie Shaw, Pam Teeguarden
Valerie Ziegenfuss, Peggy Michel
Alex Cowie, Sally Holdsworth
Janice Townsend, Farel Footman
Nell Truman, Denise Carter
Carole Graebner, Patti Hogan
Kerry Reid, Kristy Pigeon
Winnie Shaw, Valerie Ziegenfuss
Janice Townsend, Alex Cowie
Carole Graebner, Nell Truman
Kerry Reid, Winnie Shaw
Carole Graebner, Janice Townsend
Kerry Reid, Carole Graebner
Laura Rossouw, Kathleen Harter
Billie Jean King, Virginia Wade
Ann Jones, Nancy Richey
Julie Heldman, Joyce Williams
Virginia Wade, Nancy Richey
Billie Jean King, Ann Jones
Annette Van Zyl, Patricia Cody
Nirupama Vasant, Farel Footman
Valerie Ziegenfuss, Patricia Edwards
Corinne Molesworth, Trudy Groenman
Helen Gourlay, Gail Hansen
Marianna Brummer, Maria Jose Aubet
