Caroline Langsford, Sally Irvine
Betty Stove, Winnie Shaw
Virginia Wade, Marijke Jansen
Odile De Roubin, Kimiyo Yagahara
Kazuko Sawamatsu, Gail Sherriff
Lea Pericoli, Odile De Roubin
Gail Sherriff, Maria Teresa Riedl
Helga Schultze, Anne Marie Studer
Helga Masthoff, Marianne Kindler
Peaches Bartkowicz, Helga Schultze
Helga Masthoff, Julie Heldman
Peaches Bartkowicz, Marianna Brummer
Julie Heldman, Brenda Kirk
Peaches Bartkowicz, Biljana Kostic
Julie Heldman, Irena Skulj
Margaret Court, Gail Sherriff
Evonne Goolagong, Francoise Durr
Evonne Goolagong, Virginia Wade
Margaret Court, Ann Jones
Sharon Walsh Pete, Daniela Marzano
Patti Hogan, Maria Teresa Nasuelli
Jane Ohara, Lany Kaligis
Lita Liem, Andree Martin
Jane Ohara, Daniela Marzano
Maria Teresa Nasuelli, Andree Martin
Kazuko Sawamatsu, Lita Liem
Lany Kaligis, Kimiyo Yagahara
Laura Rossouw, Lany Kaligis
Brenda Kirk, Lita Liem
Robyn Legge, Ines Roget
Marilyn Pryde, Raquel Giscafre
Laura Rossouw, Sharon Walsh Pete
Patti Hogan, Brenda Kirk
Kazuko Sawamatsu, Raquel Giscafre
Kimiyo Yagahara, Ines Roget
Trudy Groenman, Jane Ohara
Betty Stove, Andree Martin
Francoise Durr, Trudy Groenman
Betty Stove, Gail Sherriff
Francoise Durr, Kimiyo Yagahara
Kazuko Sawamatsu, Gail Sherriff
Virginia Wade, Sharon Walsh Pete
Ann Jones, Patti Hogan
Virginia Wade, Robyn Legge
Ann Jones, Marilyn Pryde
Margaret Court, Elaine Stephan
Alice Tym, Ruia Morrison
Christina Sandberg, Shirley Collins
Kerry Reid, Stephanie Bardsley
Winnie Shaw, Beverley Vercoe
Karen Krantzcke, Jill Fraser
Robyn Legge, Frances Maclennan
Ann Jones, Cecilie Fleming
Margaret Court, Alice Tym
Kerry Reid, Christina Sandberg
Karen Krantzcke, Winnie Shaw
Ann Jones, Robyn Legge
Kerry Reid, Margaret Court
Ann Jones, Karen Krantzcke
Ann Jones, Kerry Reid
Margaret Court, Rosie Casals
Julie Heldman, Francoise Durr
Nancy Richey, Virginia Wade
Billie Jean King, Peaches Bartkowicz
Margaret Court, Julie Heldman
Billie Jean King, Nancy Richey
Margaret Court, Billie Jean King
Margaret Court, Francoise Durr
Rosie Casals, Peaches Bartkowicz
Ann Jones, Valerie Ziegenfuss
Virginia Wade, Billie Jean King
Margaret Court, Rosie Casals
Virginia Wade, Ann Jones
Rosie Casals, Ann Jones
Margaret Court, Virginia Wade
Karen Krantzcke, Lesley Hunt
Wendy Gilchrist, Kerry Reid
Francoise Durr, Evonne Goolagong
Winnie Shaw, Judy Tegart
Rosie Casals, Wendy Gilchrist
Virginia Wade, Francoise Durr
Billie Jean King, Winnie Shaw
Margaret Court, Rosie Casals
Billie Jean King, Virginia Wade
Billie Jean King, Margaret Court
Margaret Court, Karin Boshoff
Evelyne Terras, Suzie Alberts
Helen Amos, C Ravinsky
Anita Summers, Margaret Van Rensburg
Annette Van Zyl, Daphne Pattison
Franzie Alberts, Ann Phillips Moore
Wendy Tomlinson, Adrienne Avis
Patricia Walkden, Heloise Burger
Virginia Wade, Mynie Van Zyl
Glenda Swan, Sandra Walsham
Celeste Behrmann, Erna Ackermann
Francoise Durr, Terisa Viljoen
Winnie Shaw, M Dowson
Wendy Gilchrist, Sannie Gouws
