Elaine Genovese, Caroline Oduor
Nour Abbes, Magy Aziz
Ons Jabeur, Mai El Kamash
Joana Eidukonyte, Menna El Nagdy
Lina Stanciute, Mai El Kamash
Magy Aziz, Melisa Martinov
Mai El Kamash, Julia Helbet
Menna El Nagdy, Mara Argyriou
Magy Aziz, Joanna Nena Savva
Magy Aziz, Carita Moolman
Mai El Kamash, Lesedi Sheya Jacobs
Nour Abbes, Justina Mikulskyte
Ons Jabeur, Lina Stanciute
Nour Abbes, Alina Soltanici
Ons Jabeur, Julia Helbet
Nour Abbes, Mara Argyriou
Ons Jabeur, Joanna Nena Savva
Nour Abbes, Liniques Theron
Ons Jabeur, Kerstin Gressmann
Joana Eidukonyte, Alina Soltanici
Lina Stanciute, Julia Helbet
Joana Eidukonyte, Maria Siopacha
Lina Stanciute, Joanna Nena Savva
Joana Eidukonyte, Carita Moolman
Lina Stanciute, Lesedi Sheya Jacobs
Mara Argyriou, Alina Soltanici
Julia Helbet, Joanna Nena Savva
Alina Soltanici, Kerstin Gressmann
Julia Helbet, Carita Moolman
Mara Argyriou, Liniques Theron
Joanna Nena Savva, Lesedi Sheya Jacobs
Kirsten Andrea Weedon, Joselyn Margarita Treyes Albarracan
Daniela Schippers, Paula Castro
Anneliese Rose, Kirsten Andrea Weedon
Yolande Leacock, Daniela Schippers
Kirsten Andrea Weedon, Luisanna Rodriguez
Daniela Schippers, Michelle Marie Valdez
Anneliese Rose, Joselyn Margarita Treyes Albarracan
Yolande Leacock, Rafaela Gomez
Rafaela Gomez, Karla Portalatin
Paula Castro, Michelle Marie Valdez
Anneliese Rose, Luisanna Rodriguez
Yolande Leacock, Michelle Marie Valdez
Cecilia Costa Melgar, Carolina Betancourt
Andrea Koch Benvenuto, Ana Sofia Sanchez
Cecilia Costa Melgar, Yolimar Ogando
Monica Puig, Andrea Koch Benvenuto
Cecilia Costa Melgar, Ana Lucia Migliarini De Leon
Andrea Koch Benvenuto, Maria Jose Pintos
Cecilia Costa Melgar, Mariela Haug
Andrea Koch Benvenuto, Ximena Mino
Marcela Zacarias, Yolimar Ogando
Monica Puig, Ana Sofia Sanchez
Marcela Zacarias, Sara Quiroga
Ana Sofia Sanchez, Maria Jose Pintos
Marcela Zacarias, Mariela Haug
Ana Sofia Sanchez, Ximena Mino
Ana Lucia Migliarini De Leon, Yolimar Ogando
Monica Puig, Sara Quiroga
Ana Sofia Cordero, Mariela Haug
Monica Puig, Ximena Mino
Ana Lucia Migliarini De Leon, Juli Raventos
Sara Quiroga, Ximena Mino
Ilze Hattingh, Johanna Hyoty
Natalie Grandin, Piia Suomalainen
Mai Grage, Ella Leivo
Piia Suomalainen, Karen Barbat
Vladica Babic, Ella Leivo
Danka Kovinic, Piia Suomalainen
Ilze Hattingh, Mai Grage
Natalie Grandin, Karen Barbat
Ilze Hattingh, Vladica Babic
Natalie Grandin, Danka Kovinic
Mai Grage, Vladica Babic
Danka Kovinic, Karen Barbat
Sofia Shapatava, Liga Dekmeijere
Anna Tatishvili, Diana Marcinkevica
Sofia Shapatava, Pemra Ozgen
Anna Tatishvili, Cagla Buyukakcay
Sofia Kvatsabaia, Hedda Odegaard
Anna Tatishvili, Emma Flood
Liga Dekmeijere, Pemra Ozgen
Cagla Buyukakcay, Diana Marcinkevica
Liga Dekmeijere, Emma Flood
Diana Marcinkevica, Ulrikke Eikeri
Pemra Ozgen, Hedda Odegaard
Cagla Buyukakcay, Emma Flood
Emma Laine, Hedda Odegaard
Piia Suomalainen, Ulrikke Eikeri
Liga Dekmeijere, Cecilie Lundgaard Melsted
Diana Marcinkevica, Karen Barbat
Pemra Ozgen, Ilze Hattingh
Cagla Buyukakcay, Natalie Grandin
Sofia Shapatava, Vladica Babic
Anna Tatishvili, Danka Kovinic
Fatima El Allami, Joana Eidukonyte
Lina Stanciute, Fatyha Berjane
Nour Abbes, Sinead Lohan
Ons Jabeur, Amy Bowtell
Menna El Nagdy, Nune Khachatryan
Ani Amiraghyan, Mai El Kamash
Elaine Genovese, Alina Soltanici
Julia Helbet, Rosanne Dimech
Mara Argyriou, Veronica Osogo Nabwire
Joanna Nena Savva, Caroline Oduor
Marcela Zacarias, Anneliese Rose
Ana Sofia Sanchez, Yolande Leacock
Cecilia Costa Melgar, Kirsten Andrea Weedon
Andrea Koch Benvenuto, Daniela Schippers
Yolimar Ogando, Rafaela Gomez
Monica Puig, Paula Castro
Sara Quiroga, Karla Portalatin
Michelle Marie Valdez, Maria Jose Pintos
Caroline Wozniacki, Tsvetana Pironkova
Roberta Vinci, Daniela Hantuchova
Nadia Petrova, Roberta Vinci
Caroline Wozniacki, Su Wei Hsieh
Nadia Petrova, Caroline Wozniacki
Caroline Wozniacki, Roberta Vinci
Caroline Wozniacki, Daniela Hantuchova
Roberta Vinci, Su Wei Hsieh
Su Wei Hsieh, Daniela Hantuchova
Tsvetana Pironkova, Jie Zheng
Nadia Petrova, Jie Zheng
Maria Kirilenko, Tsvetana Pironkova
Nadia Petrova, Maria Kirilenko
Sofia Arvidsson, Jie Zheng
Nadia Petrova, Tsvetana Pironkova
Yanina Wickmayer, Marina Erakovic
Casey Dellacqua, Galina Voskoboeva
Simona Halep, Klara Koukalova
Irina Camelia Begu, Elena Baltacha
Anna Chakvetadze, Monica Niculescu
Tsvetana Pironkova, Heather Watson
Sacha Jones, Kristina Barrois
Shahar Peer, Lucie Hradecka
Sorana Cirstea, Ksenia Pervak
Bethanie Mattek Sands, Ashleigh Barty
Sara Errani, Johanna Larsson
Angelique Kerber, Elena Vesnina
Jarmila Gajdosova, Ayumi Morita
Anastasia Rodionova, Greta Arn
Mona Barthel, Romina Oprandi
Anabel Medina Garrigues, Carla Suarez Navarro
Yanina Wickmayer, Casey Dellacqua
Simona Halep, Irina Camelia Begu
Anna Chakvetadze, Tsvetana Pironkova
Shahar Peer, Sacha Jones
Sorana Cirstea, Bethanie Mattek Sands
Angelique Kerber, Sara Errani
Jarmila Gajdosova, Anastasia Rodionova
Mona Barthel, Anabel Medina Garrigues
Yanina Wickmayer, Simona Halep
Shahar Peer, Anna Chakvetadze
Angelique Kerber, Sorana Cirstea
Mona Barthel, Jarmila Gajdosova
Yanina Wickmayer, Shahar Peer
Mona Barthel, Angelique Kerber
Mona Barthel, Yanina Wickmayer
Richel Hogenkamp, Julia Goerges
Estrella Cabeza Candela, Laura Pous Tio
Sacha Jones, Yuliya Beygelzimer
Alize Cornet, Edina Gallovits Hall
Ksenia Pervak, Lara Arruabarrena
Sarah Gronert, Eva Birnerova
Chi Chi Scholl, Zuzana Ondraskova
Irina Camelia Begu, Kathrin Woerle
Johanna Larsson, Jana Cepelova
Jill Craybas, Nina Bratchikova
Mandy Minella, Ajla Tomljanovic
Carla Suarez Navarro, Marta Domachowska
Yvonne Meusburger, Petra Martic
Dia Evtimova, Barbara Haas
Patricia Mayr Achleitner, Nicole Rottmann
Yanina Wickmayer, Mariana Duque Marino
Estrella Cabeza Candela, Richel Hogenkamp
Alize Cornet, Sacha Jones
Ksenia Pervak, Sarah Gronert
Chi Chi Scholl, Irina Camelia Begu
Johanna Larsson, Jill Craybas
Mandy Minella, Carla Suarez Navarro
Yvonne Meusburger, Dia Evtimova
Yanina Wickmayer, Patricia Mayr Achleitner
Alize Cornet, Estrella Cabeza Candela
Ksenia Pervak, Chi Chi Scholl
Mandy Minella, Johanna Larsson
Yanina Wickmayer, Yvonne Meusburger
Alize Cornet, Ksenia Pervak
Yanina Wickmayer, Mandy Minella
Alize Cornet, Yanina Wickmayer
Victoria Azarenka, Arantxa Rus
Simona Halep, Lesia Tsurenko
Petra Martic, Sorana Cirstea
Patricia Mayr Achleitner, Sabine Lisicki
Irina Camelia Begu, Catalina Castano
Kiki Bertens, Mona Barthel
Carla Suarez Navarro, Magdalena Rybarikova
Bethanie Mattek Sands, Tamira Paszek
Julia Goerges, Daniela Hantuchova
Romina Oprandi, Alexandra Cadantu Ignatik
Lucie Hradecka, Silvia Soler Espinosa
Sofia Arvidsson, Lucie Safarova
Mallory Burdette, Ksenia Pervak
Kirsten Flipkens, Alize Cornet
Andrea Petkovic, Barbora Strycova
Ana Ivanovic, Monica Niculescu
Victoria Azarenka, Simona Halep
Petra Martic, Patricia Mayr Achleitner
Irina Camelia Begu, Kiki Bertens
Bethanie Mattek Sands, Carla Suarez Navarro
Julia Goerges, Romina Oprandi
Sofia Arvidsson, Lucie Hradecka
Kirsten Flipkens, Mallory Burdette
Ana Ivanovic, Andrea Petkovic
Victoria Azarenka, Petra Martic
Irina Camelia Begu, Bethanie Mattek Sands
Julia Goerges, Sofia Arvidsson
Kirsten Flipkens, Ana Ivanovic
Victoria Azarenka, Irina Camelia Begu
Julia Goerges, Kirsten Flipkens
Victoria Azarenka, Julia Goerges
Julia Cohen, Ksenia Pervak
Alla Kudryavtseva, Kamilla Farhad
Tamarine Tanasugarn, Varvara Flink
Magdalena Rybarikova, Eva Birnerova
Mandy Minella, Qiang Wang
Marta Domachowska, Caroline Garcia
Alberta Brianti, Zarina Diyas
Olga Puchkova, Akgul Amanmuradova
Bojana Jovanovski, Lesia Tsurenko
Valeria Solovieva, Olga Savchuk
Laura Pous Tio, Noppawan Lertcheewakarn
Aleksandra Krunic, Andrea Hlavackova
Nina Bratchikova, Patricia Mayr Achleitner
Estrella Cabeza Candela, Ekaterine Gorgodze
Sandra Zaniewska, Elina Svitolina
Alexandra Panova, Sacha Jones
Julia Cohen, Alla Kudryavtseva
Magdalena Rybarikova, Tamarine Tanasugarn
Mandy Minella, Marta Domachowska
Olga Puchkova, Alberta Brianti
Bojana Jovanovski, Valeria Solovieva
Aleksandra Krunic, Laura Pous Tio
Nina Bratchikova, Estrella Cabeza Candela
Alexandra Panova, Sandra Zaniewska
Julia Cohen, Magdalena Rybarikova
Olga Puchkova, Mandy Minella
Bojana Jovanovski, Aleksandra Krunic
Alexandra Panova, Nina Bratchikova
Julia Cohen, Olga Puchkova
Bojana Jovanovski, Alexandra Panova
Bojana Jovanovski, Julia Cohen
Kirsten Flipkens, Dominika Cibulkova
Mirjana Lucic, Heidi El Tabakh
Anna Tatishvili, Sesil Karatantcheva
Petra Martic, Jessica Pegula
Mona Barthel, Heather Watson
Petra Rampre, Michelle Larcher De Brito
Tatjana Maria, Alexa Glatch
Barbora Strycova, Marie Eve Pelletier
Annika Beck, Romina Oprandi
Kristina Mladenovic, Madison Brengle
Melanie Oudin, Irina Falconi
Aleksandra Wozniak, Elena Vesnina
Lucie Hradecka, Maria Sanchez
Eugenie Bouchard, Grace Min
Lauren Davis, Stephanie Dubois
Yanina Wickmayer, Alison Riske Amritraj
Kirsten Flipkens, Mirjana Lucic
Anna Tatishvili, Petra Martic
Mona Barthel, Petra Rampre
Barbora Strycova, Tatjana Maria
Kristina Mladenovic, Annika Beck
Melanie Oudin, Aleksandra Wozniak
Lucie Hradecka, Eugenie Bouchard
Lauren Davis, Yanina Wickmayer
Kirsten Flipkens, Anna Tatishvili
Mona Barthel, Barbora Strycova
Kristina Mladenovic, Melanie Oudin
Lucie Hradecka, Lauren Davis
Kirsten Flipkens, Mona Barthel
Lucie Hradecka, Kristina Mladenovic
Kirsten Flipkens, Lucie Hradecka
Kai Chen Chang, Marion Bartoli
Su Wei Hsieh, Nina Bratchikova
Saisai Zheng, Julia Cohen
Mathilde Johansson, Monica Niculescu
Urszula Radwanska, Melinda Czink
Mandy Minella, Pauline Parmentier
Bojana Jovanovski, Timea Babos
Chanelle Scheepers, Qiang Wang
Alize Cornet, Alexandra Panova
Olga Govortsova, Zarina Diyas
Ying Ying Duan, Luksika Kumkhum
Sorana Cirstea, Yue Yue Hu
Shuai Peng, Ayumi Morita
Nudnida Luangnam, Jarmila Gajdosova
Laura Robson, Maria Teresa Torro Flor
Jie Zheng, Yung Jan Chan
Su Wei Hsieh, Kai Chen Chang
Mathilde Johansson, Saisai Zheng
Urszula Radwanska, Mandy Minella
Chanelle Scheepers, Bojana Jovanovski
Alize Cornet, Olga Govortsova
Sorana Cirstea, Ying Ying Duan
Shuai Peng, Nudnida Luangnam
Laura Robson, Jie Zheng
Su Wei Hsieh, Mathilde Johansson
Urszula Radwanska, Chanelle Scheepers
Sorana Cirstea, Alize Cornet
Laura Robson, Shuai Peng
Su Wei Hsieh, Urszula Radwanska
Laura Robson, Sorana Cirstea
Su Wei Hsieh, Laura Robson
Marina Erakovic, Stefanie Voegele
Edina Gallovits Hall, Julia Cohen
Mariana Duque Marino, Tetiana Luzhanska
Lourdes Dominguez Lino, Sharon Fichman
Paula Ormaechea, Jelena Dokic
Petra Rampre, Karen Castiblanco
Eva Birnerova, Ines Ferrer Suarez
Lara Arruabarrena, Patricia Mayr Achleitner
Valeria Savinykh, Mathilde Johansson
Yaroslava Shvedova, Estrella Cabeza Candela
Timea Babos, Yuliana Lizarazo
Romina Oprandi, Alexandra Cadantu Ignatik
Gisela Dulko, Kathrin Woerle
Alexandra Panova, Mandy Minella
Catalina Castano, Sesil Karatantcheva
Karin Knapp, Alexandra Dulgheru
Edina Gallovits Hall, Marina Erakovic
Mariana Duque Marino, Lourdes Dominguez Lino
Paula Ormaechea, Petra Rampre
Lara Arruabarrena, Eva Birnerova
Yaroslava Shvedova, Valeria Savinykh
Timea Babos, Romina Oprandi
Alexandra Panova, Gisela Dulko
Karin Knapp, Catalina Castano
Edina Gallovits Hall, Mariana Duque Marino
Lara Arruabarrena, Paula Ormaechea
Timea Babos, Yaroslava Shvedova
Alexandra Panova, Karin Knapp
Lara Arruabarrena, Edina Gallovits Hall
Alexandra Panova, Timea Babos
Lara Arruabarrena, Alexandra Panova
Caroline Wozniacki, Urszula Radwanska
Pauline Parmentier, Anna Chakvetadze
Alize Cornet, Malou Ejdesgaard
Patricia Mayr Achleitner, Sofia Arvidsson
Monica Niculescu, Valeria Savinykh
Bojana Jovanovski, Stefanie Voegele
Petra Martic, Annika Beck
Johanna Konta, Ksenia Pervak
Kaia Kanepi, Anastasia Rodionova
Timea Babos, Kimiko Date Krumm
Yulia Putintseva, Karen Barbat
Jelena Jankovic, Laura Robson
Mona Barthel, Johanna Larsson
Alberta Brianti, Kristina Barrois
Anne Keothavong, Melinda Czink
Angelique Kerber, Stephanie Foretz Gacon
Caroline Wozniacki, Pauline Parmentier
Alize Cornet, Patricia Mayr Achleitner
Bojana Jovanovski, Monica Niculescu
Petra Martic, Johanna Konta
Kaia Kanepi, Timea Babos
Jelena Jankovic, Yulia Putintseva
Mona Barthel, Alberta Brianti
Angelique Kerber, Anne Keothavong
Caroline Wozniacki, Alize Cornet
Petra Martic, Bojana Jovanovski
Jelena Jankovic, Kaia Kanepi
Angelique Kerber, Mona Barthel
Caroline Wozniacki, Petra Martic
Angelique Kerber, Jelena Jankovic
Angelique Kerber, Caroline Wozniacki
Olga Govortsova, Francesca Schiavone
Laura Pous Tio, Barbora Strycova
Lourdes Dominguez Lino, Silvia Soler Espinosa
Sorana Cirstea, Polona Hercog
Dominika Cibulkova, Iryna Bremond
Klara Koukalova, Laura Thorpe
Yuliya Beygelzimer, Alexandra Cadantu Ignatik
Flavia Pennetta, Lara Arruabarrena
Petra Cetkovska, Shahar Peer
Carla Suarez Navarro, Annalisa Bona
Simona Halep, Sloane Stephens
Roberta Vinci, Mathilde Johansson
Sara Errani, Irina Camelia Begu
Estrella Cabeza Candela, Nina Bratchikova
Garbine Muguruza, Arantxa Parra Santonja
Julia Goerges, Aravane Rezai
Olga Govortsova, Laura Pous Tio
Sorana Cirstea, Lourdes Dominguez Lino
Dominika Cibulkova, Klara Koukalova
Yuliya Beygelzimer, Flavia Pennetta
Carla Suarez Navarro, Petra Cetkovska
Simona Halep, Roberta Vinci
Sara Errani, Estrella Cabeza Candela
Julia Goerges, Garbine Muguruza
Sorana Cirstea, Olga Govortsova
Dominika Cibulkova, Yuliya Beygelzimer
Carla Suarez Navarro, Simona Halep
Sara Errani, Julia Goerges
Dominika Cibulkova, Sorana Cirstea
Sara Errani, Carla Suarez Navarro
Sara Errani, Dominika Cibulkova
Pauline Parmentier, Sabine Lisicki
Stephanie Foretz Gacon, Elena Baltacha
Lucie Hradecka, Mandy Minella
Alexandra Panova, Mona Barthel
Anabel Medina Garrigues, Anna Tatishvili
Su Wei Hsieh, Irina Camelia Begu
Alize Cornet, Olga Govortsova
Shahar Peer, Aleksandra Wozniak
Ayumi Morita, Marina Erakovic
Virginie Razzano, Maria Jose Martinez Sanchez
Timea Babos, Anastasija Sevastova
Sloane Stephens, Maria Kirilenko
Tamira Paszek, Alberta Brianti
Johanna Larsson, Lauren Davis
Mirjana Lucic, Anne Keothavong
Francesca Schiavone, Alexandra Cadantu Ignatik
Pauline Parmentier, Stephanie Foretz Gacon
Alexandra Panova, Lucie Hradecka
Anabel Medina Garrigues, Su Wei Hsieh
Alize Cornet, Shahar Peer
Ayumi Morita, Virginie Razzano
Sloane Stephens, Timea Babos
Johanna Larsson, Tamira Paszek
Francesca Schiavone, Mirjana Lucic
Pauline Parmentier, Alexandra Panova
Alize Cornet, Anabel Medina Garrigues
Sloane Stephens, Ayumi Morita
