Ivan Lendl, Roberto Arguello
Alejandro Pierola, Rod Frawley
Andres Gomez, Fernando Dalla Fontana
Jose Higueras, Cassio Motta
Guillermo Vilas, Carlos Gattiker
Tomas Smid, Chris Lewis
Eddie Dibbs, Carlos Kirmayr
Balazs Taroczy, Hans Gildemeister
Jose Luis Clerc, Rolf Gehring
Terry Moor, Peter Mcnamara
Ivan Lendl, Alejandro Pierola
Jose Higueras, Andres Gomez
Guillermo Vilas, Tomas Smid
Eddie Dibbs, Balazs Taroczy
Jose Luis Clerc, Terry Moor
Ivan Lendl, Jose Higueras
Guillermo Vilas, Eddie Dibbs
Jose Luis Clerc, Ivan Lendl
Guillermo Vilas, Jose Luis Clerc
Corrado Barazzutti, Pavel Slozil
Gilles Moretton, Antonio Zugarelli
Klaus Eberhard, Dick Crealy
Jean Louis Haillet, Antonio Munoz
Victor Pecci, Rod Frawley
Jean Francois Caujolle, Denis Naegelen
Patrice Dominguez, Christophe Freyss
Colin Dowdeswell, Andrew Jarrett
Stanislav Birner, Zeljko Franulovic
Georges Goven, Jiri Hrebec
Mark Cox, Bernard Fritz
Yannick Noah, Karl Meiler
Eric Deblicker, Paul Kronk
Jiri Granat, Terry Rocavert
Pascal Portes, Ismail El Shafei
Balazs Taroczy, Hans Kary
Corrado Barazzutti, Gilles Moretton
Jean Louis Haillet, Klaus Eberhard
Victor Pecci, Jean Francois Caujolle
Patrice Dominguez, Colin Dowdeswell
Georges Goven, Stanislav Birner
Yannick Noah, Mark Cox
Eric Deblicker, Jiri Granat
Balazs Taroczy, Pascal Portes
Jean Louis Haillet, Corrado Barazzutti
Patrice Dominguez, Victor Pecci
Yannick Noah, Georges Goven
Balazs Taroczy, Eric Deblicker
Jean Louis Haillet, Patrice Dominguez
Yannick Noah, Balazs Taroczy
Yannick Noah, Jean Louis Haillet
Corrado Barazzutti, Vladimir Zednik
Andreas Maurer, Pavel Slozil
Patrick Proisy, Antonio Munoz
Paul Mcnamee, Yannick Noah
John Alexander, Jiri Hrebec
Jean Louis Haillet, Patrice Dominguez
Eric Deblicker, Peter Elter
Tomas Smid, Pascal Portes
Ivan Lendl, Antonio Zugarelli
Carlos Kirmayr, Werner Zirngibl
Jean Francois Caujolle, Peter Mcnamara
Paolo Bertolucci, Fernando Luna
Victor Pecci, Terry Rocavert
Dominique Bedel, Angel Gimenez
Brian Fairlie, Gilles Moretton
Balazs Taroczy, Pavel Hutka
Corrado Barazzutti, Andreas Maurer
Patrick Proisy, Paul Mcnamee
John Alexander, Jean Louis Haillet
Tomas Smid, Eric Deblicker
Carlos Kirmayr, Ivan Lendl
Jean Francois Caujolle, Paolo Bertolucci
Victor Pecci, Dominique Bedel
Balazs Taroczy, Brian Fairlie
Corrado Barazzutti, Patrick Proisy
John Alexander, Tomas Smid
Jean Francois Caujolle, Carlos Kirmayr
Victor Pecci, Balazs Taroczy
John Alexander, Corrado Barazzutti
Victor Pecci, Jean Francois Caujolle
Victor Pecci, John Alexander
Manuel Orantes, Ross Case
Russell Simpson, Gunther Gnettner
Werner Zirngibl, Pavel Hutka
Ulrich Pinner, David Carter
Balazs Taroczy, Klaus Eberhard
Ivan Molina, Karl Meiler
Jiri Hrebec, Jorge Andrew
Zeljko Franulovic, Patrice Dominguez
Rolf Gehring, Raymond Moore
Andres Gomez, John James
Jan Kodes, Joao Soares
Victor Pecci, Stanislav Birner
Tom Okker, Antonio Munoz
Peter Elter, Kjell Johansson
Rick Fagel, Christophe Roger Vasselin
Wojtek Fibak, Jean Louis Haillet
Manuel Orantes, Russell Simpson
Werner Zirngibl, Ulrich Pinner
Ivan Molina, Balazs Taroczy
Jiri Hrebec, Zeljko Franulovic
Andres Gomez, Rolf Gehring
