Rainer Schuettler, Sebastien Grosjean
Roger Federer, David Ferrer
Karol Beck, James Blake
Jarkko Nieminen, Karol Kucera
Juan Ignacio Chela, Nicolas Massu
Feliciano Lopez, Jiri Novak
Stefan Koubek, Nikolay Davydenko
Max Mirnyi, Jan Michael Gambill
Agustin Calleri, Mariano Zabaleta
Albert Costa, Sargis Sargsian
Jonas Bjorkman, Filippo Volandri
Tim Henman, Stefano Pescosolido
Sjeng Schalken, Alexander Waske
Jurgen Melzer, Tommy Robredo
Nicolas Kiefer, Alexander Peya
Vincent Spadea, Davide Sanguinetti
Carlos Moya, Fernando Gonzalez
Roger Federer, Karol Beck
Jarkko Nieminen, Juan Ignacio Chela
Feliciano Lopez, Stefan Koubek
Max Mirnyi, Agustin Calleri
Jonas Bjorkman, Albert Costa
Tim Henman, Sjeng Schalken
Nicolas Kiefer, Jurgen Melzer
Carlos Moya, Vincent Spadea
Roger Federer, Jarkko Nieminen
Max Mirnyi, Feliciano Lopez
Tim Henman, Jonas Bjorkman
Carlos Moya, Nicolas Kiefer
Roger Federer, Max Mirnyi
Carlos Moya, Tim Henman
Roger Federer, Carlos Moya
Marat Safin, Olivier Rochus
Jarkko Nieminen, Peter Luczak
Hyung Taik Lee, Nicolas Lapentti
Andy Roddick, Tommy Robredo
Franco Squillari, Roger Federer
Nikolay Davydenko, Raphael Durek
Wayne Ferreira, Thomas Enqvist
Juan Ignacio Chela, Albert Costa
Gaston Gaudio, Todd Reid
Rainer Schuettler, Ivan Ljubicic
Mardy Fish, Richard Krajicek
Carlos Moya, James Blake
Paradorn Srichaphan, Scott Draper
Max Mirnyi, Xavier Malisse
Mikhail Youzhny, Adrian Voinea
Juan Carlos Ferrero, Jaymon Crabb
Marat Safin, Jarkko Nieminen
Hyung Taik Lee, Andy Roddick
Franco Squillari, Nikolay Davydenko
Wayne Ferreira, Juan Ignacio Chela
Rainer Schuettler, Gaston Gaudio
Mardy Fish, Carlos Moya
Paradorn Srichaphan, Max Mirnyi
Juan Carlos Ferrero, Mikhail Youzhny
Hyung Taik Lee, Marat Safin
Wayne Ferreira, Franco Squillari
Rainer Schuettler, Mardy Fish
Juan Carlos Ferrero, Paradorn Srichaphan
Hyung Taik Lee, Wayne Ferreira
Juan Carlos Ferrero, Rainer Schuettler
Hyung Taik Lee, Juan Carlos Ferrero
Franco Squillari, Wayne Ferreira
Richard Krajicek, Scott Draper
Brian Vahaly, Adam Kennedy
Vincent Spadea, Todd Reid
Kristof Vliegen, Thomas Enqvist
Arvind Parmar, Harel Levy
Richard Gasquet, Arnaud Di Pasquale
Alberto Martin, Jurgen Melzer
Mariano Zabaleta, Alexander Waske
Martin Verkerk, Florent Serra
Nikolay Davydenko, Irakli Labadze
Ivan Ljubicic, Jeff Morrison
Adrian Voinea, Olivier Rochus
Alex Kim, Attila Savolt
Antony Dupuis, Karol Beck
Max Mirnyi, Stefano Galvani
Richard Krajicek, Franco Squillari
Brian Vahaly, Vincent Spadea
Kristof Vliegen, Arvind Parmar
Alberto Martin, Richard Gasquet
Mariano Zabaleta, Martin Verkerk
Nikolay Davydenko, Ivan Ljubicic
Adrian Voinea, Alex Kim
Antony Dupuis, Max Mirnyi
Richard Krajicek, Brian Vahaly
Kristof Vliegen, Alberto Martin
Nikolay Davydenko, Mariano Zabaleta
Adrian Voinea, Antony Dupuis
Kristof Vliegen, Richard Krajicek
Nikolay Davydenko, Adrian Voinea
Nikolay Davydenko, Kristof Vliegen
Tommy Robredo, Jurgen Melzer
Jean Rene Lisnard, Cristiano Caratti
Victor Hanescu, Pavel Snobel
Andrei Pavel, Dominik Hrbaty
Fernando Gonzalez, Christophe Rochus
Tomas Behrend, Mariano Puerta
David Ferrer, Karol Beck
Hicham Arazi, Ruben Ramirez Hidalgo
Philipp Petzschner, Antony Dupuis
Thierry Ascione, Vladimir Voltchkov
Davide Sanguinetti, Thomas Enqvist
Arnaud Clement, Michael Llodra
Fabrice Santoro, Diego Veronelli
Olivier Mutis, Richard Gasquet
Alexander Popp, Fernando Vicente
Nicolas Mahut, Younes El Aynaoui
Tommy Robredo, Jean Rene Lisnard
Andrei Pavel, Victor Hanescu
Fernando Gonzalez, Tomas Behrend
David Ferrer, Hicham Arazi
Philipp Petzschner, Thierry Ascione
Arnaud Clement, Davide Sanguinetti
Fabrice Santoro, Olivier Mutis
Alexander Popp, Nicolas Mahut
Andrei Pavel, Tommy Robredo
Fernando Gonzalez, David Ferrer
Arnaud Clement, Philipp Petzschner
Fabrice Santoro, Alexander Popp
Fernando Gonzalez, Andrei Pavel
Arnaud Clement, Fabrice Santoro
Arnaud Clement, Fernando Gonzalez
Nicolas Mahut, Jarkko Nieminen
Fabrice Santoro, Max Mirnyi
Hicham Arazi, Paul Henri Mathieu
Karol Beck, Robby Ginepri
Feliciano Lopez, Mikhail Youzhny
Andrei Pavel, Karol Kucera
Albert Costa, Mariano Zabaleta
James Blake, Fernando Gonzalez
Tim Henman, Nikolay Davydenko
Gustavo Kuerten, Mardy Fish
Dominik Hrbaty, Vincent Spadea
Thierry Ascione, Juan Ignacio Chela
Jonas Bjorkman, Agustin Calleri
Gregory Carraz, Radek Stepanek
Gaston Gaudio, Richard Gasquet
Victor Hanescu, Wayne Ferreira
Juan Carlos Ferrero, Nicolas Mahut
Jiri Novak, Fabrice Santoro
Hicham Arazi, Younes El Aynaoui
Paradorn Srichaphan, Karol Beck
