Barry Phillips Moore, Martin Mulligan
Bob Hewitt, Alex Metreveli
Tom Okker, Barry Phillips Moore
Tom Okker, Bob Hewitt
Tom Mozur, Joaquin Loyo Mayo
Bill Harris, Steve Faulk
Jaime Fillol, Dick Dell
Tom Gorman, Brian Cheney
Allan Stone, Tom Mozur
Bill Harris, Premjit Lall
Jaime Fillol, Colin Stubs
Tom Gorman, Ramanathan Krishnan
Bill Harris, Allan Stone
Tom Gorman, Jaime Fillol
Bill Harris, Tom Gorman
Larry Nagler, Mike Kreiss
Raymond Moore, Leonzio Collas
Ron Holmberg, Bob Abbott
Tom Gorman, Sam Match
Dick Bohrnstedt, Gary Johnson
Steve Tidball, Donald Lutz
George Taylor, Ron Bohrnstedt
Roger Taylor, Mike Machette
Allan Stone, Richard Russell
Pancho Segura, John Allgood
Marty Riessen, Jerry Dewitts
Jim Osborne, Bob Kreiss
Alejandro Olmedo, Tom Edlefsen
Raymond Moore, Dick Bohrnstedt
Jim Mcmanus, Mike Franks
Bob Lutz, Stan Ellis
Tom Leonard, Steve Avoyer
Tom Gorman, Larry Nagler
Donald Dell, Tom Chivington
Pierre Barthes, John Yeomans
Mal Anderson, Roy Barth
Charlie Pasarell, Ken Stuart
Nikola Pilic, Ed Grubb
Fred Stolle, Rafael Osuna
Roy Emerson, John Brown
Andres Gimeno, Ron Holmberg
Earl Butch Buchholz, Ingo Buding
Cliff Drysdale, Horst Ritter
Tony Roche, Gene Stuart Malin
Colin Stubs, Dennis Ralston
Richard Gonzalez, Armistead Neely
John Newcombe, Jim Sheperd
Clark Graebner, Barry Mackay
Ken Rosewall, Joe Rush
Tom Okker, Stan Smith
Arthur Ashe, Dick Leach
Rod Laver, John Norgauer
Alejandro Olmedo, Colin Stubs
Roger Taylor, Charlie Pasarell
Nikola Pilic, Steve Tidball
Fred Stolle, Pancho Segura
Roy Emerson, George Taylor
Andres Gimeno, Raymond Moore
Earl Butch Buchholz, Tom Gorman
Jim Osborne, Cliff Drysdale
Tony Roche, Allan Stone
Richard Gonzalez, Donald Dell
Tom Leonard, John Newcombe
Clark Graebner, Mal Anderson
Ken Rosewall, Jim Mcmanus
Marty Riessen, Tom Okker
Arthur Ashe, Pierre Barthes
Rod Laver, Bob Lutz
Fred Stolle, Marty Riessen
Roy Emerson, Tom Leonard
Andres Gimeno, Alejandro Olmedo
Richard Gonzalez, Earl Butch Buchholz
Clark Graebner, Tony Roche
Ken Rosewall, Roger Taylor
Arthur Ashe, Nikola Pilic
Rod Laver, Jim Osborne
Fred Stolle, Andres Gimeno
Ken Rosewall, Richard Gonzalez
Arthur Ashe, Roy Emerson
Rod Laver, Clark Graebner
Ken Rosewall, Arthur Ashe
Rod Laver, Fred Stolle
Rod Laver, Ken Rosewall
Jairo Velasco, Ray Keldie
Colin Stubs, Manlio Bartoni
Allan Stone, Massimo Di Domenico
Eduardo Soriano, Pancho Castillo
Patricio Rodriguez Chi, Ben Anzola
Miguel Oquendo, Andres Escobar
Antonio Munoz, Vincenzo Franchitti
Jaidip Mukerjea, Jaime Bartoli
Alexander Marcial, Jose Higueras
Jose Edison Mandarino, Enrique Molina
Francois Jauffret, Roberto Lombardi
Michael Hickey, Luiz Flor
Enrique Guerrero, Paolo Bertolucci
Jose Guerrero, Fernando Gentil
Harald Elschenbroich, Enrique Bruix
Eddie Cruz, Pedro Loewe
Eugenio Castigliano, Jose Moreno
Bob Carmichael, Roberto Saya
Luis Bruguera, Pancho Guzman
Terry Addison, Marty Pincus
Jose Luis Arillla, Jose L Asensio
Ingo Buding, Fabrizio Matteoli
Thomaz Koch, Rafael Ruiz
Ken Fletcher, Piero Toci
Ray Ruffels, M Fuster
Al Pena, Nicola Pietrangeli
Patricio Rodriguez Chi, Carlos Fernandes
Antonio Munoz, Allan Stone
Jaidip Mukerjea, Eduardo Soriano
Jose Edison Mandarino, Miguel Oquendo
Francois Jauffret, Terry Addison
Michael Hickey, Al Pena
