Katerina Maleeva, Brenda Schultz Mccarthy
Catherine Tanvier, Elly Hakami
Kimiko Date Krumm, Michelle Torres
Martina Pawlik, Terry Phelps
Laura Arraya, Wiltrud Probst
Sophie Amiach, Leona Laskova
Jana Pospisilova, Denisa Krajcovicova
Conchita Martinez, Beth Herr
Zina Garrison, Louise Allen
Cathy Caverzasio, Ann Devries
Monica Seles, Ronni Reis
Stacey Martin, Katrina Adams
Jo Anne Faull, Catherine Suire
Adriana Villagran Reami, Leigh Anne Eldredge
Catherine Mothes Jobkel, Silke Frankl
Susan Sloane Lundy, Carrie Cunningham
Lori Mcneil, Nathalie Tauziat
Manon Bollegraf, Dianne Van Rensburg
Janine Tremelling, Catarina Lindqvist Ryan
Pascale Etchemendy, Linda Ferrando
Elise Burgin, Judith Wiesner
Larisa Savchenko, Isabel Cueto
Sandra Wasserman, Sabine Hack
Manuela Maleeva Fragniere, Liz Smylie
Arantxa Sanchez Vicario, Regina Rajchrtova
Isabelle Demongeot, Mercedes Paz
Angelika Kanellopoulou, Maria Strandlund Tomsvik
Natalia Medvedeva, Rachel Mcquillan
Shaun Stafford, Kumiko Okamoto
Amanda Coetzer, Veronika Martinek
Sara Gomer, Emmanuelle Derly
Karine Quentrec, Claudia Kohde Kilsch
Jana Novotna, Julie Halard Decugis
Claudia Porwik, Sabrina Goles
Rene Simpson, Meredith Mcgrath
Marianne Werdel Witmeyer, Jenny Byrne
Nathalie Guerree Spitzer, Iva Budarova
Laura Golarsa, Eva Pfaff
Sylvia Hanika, Sybille Niox Chateau
Raffaella Reggi Concato, Natalia Zvereva
Helena Sukova, Leila Meskhi
Akiko Kijimuta, Petra Langrova
Anne Minter, Immaculada Varas Caro
Ann Grossman, Patricia Tarabini
Gretchen Magers, Maider Laval
Kathy Rinaldi Stunkel, Barbara Romano
Andrea Temesvari, Beverly Bowes
Helen Kelesi, Radomira Zrubakova
Mary Joe Fernandez, Nathalie Herreman
Andrea Farley, Jo Durie
Neige Dias, Robin White
Barbara Paulus, Sandra Cecchini
Laura Lapi, Louise Field
Nicole Bradtke, Donna Faber
Alexia Dechaume Balleret, Regina Marsikova
Gabriela Sabatini, Akemi Nishiya
Steffi Graf, Bettina Fulco
Nicole Jagerman, Michelle Jaggard Lai
Silvia La Fratta, Elna Reinach
Andrea Vieira, Silke Meier
Katerina Maleeva, Catherine Tanvier
Martina Pawlik, Kimiko Date Krumm
Sophie Amiach, Laura Arraya
Conchita Martinez, Jana Pospisilova
Zina Garrison, Cathy Caverzasio
Monica Seles, Stacey Martin
Jo Anne Faull, Adriana Villagran Reami
Susan Sloane Lundy, Catherine Mothes Jobkel
Manon Bollegraf, Lori Mcneil
Janine Tremelling, Pascale Etchemendy
Larisa Savchenko, Elise Burgin
Manuela Maleeva Fragniere, Sandra Wasserman
Arantxa Sanchez Vicario, Isabelle Demongeot
Natalia Medvedeva, Angelika Kanellopoulou
Amanda Coetzer, Shaun Stafford
Karine Quentrec, Sara Gomer
Jana Novotna, Claudia Porwik
Rene Simpson, Marianne Werdel Witmeyer
Laura Golarsa, Nathalie Guerree Spitzer
Sylvia Hanika, Raffaella Reggi Concato
Akiko Kijimuta, Helena Sukova
Ann Grossman, Anne Minter
Gretchen Magers, Kathy Rinaldi Stunkel
Helen Kelesi, Andrea Temesvari
Mary Joe Fernandez, Andrea Farley
Neige Dias, Barbara Paulus
Nicole Bradtke, Laura Lapi
Gabriela Sabatini, Alexia Dechaume Balleret
Steffi Graf, Nicole Jagerman
Silvia La Fratta, Andrea Vieira
Katerina Maleeva, Martina Pawlik
Conchita Martinez, Sophie Amiach
Monica Seles, Zina Garrison
Jo Anne Faull, Susan Sloane Lundy
Janine Tremelling, Manon Bollegraf
Manuela Maleeva Fragniere, Larisa Savchenko
Arantxa Sanchez Vicario, Natalia Medvedeva
Amanda Coetzer, Karine Quentrec
Jana Novotna, Rene Simpson
Sylvia Hanika, Laura Golarsa
Ann Grossman, Akiko Kijimuta
Helen Kelesi, Gretchen Magers
Mary Joe Fernandez, Neige Dias
Gabriela Sabatini, Nicole Bradtke
Steffi Graf, Silvia La Fratta
Conchita Martinez, Katerina Maleeva
Monica Seles, Jo Anne Faull
Manuela Maleeva Fragniere, Janine Tremelling
Arantxa Sanchez Vicario, Amanda Coetzer
Jana Novotna, Sylvia Hanika
Helen Kelesi, Ann Grossman
Mary Joe Fernandez, Gabriela Sabatini
Steffi Graf, Conchita Martinez
Monica Seles, Manuela Maleeva Fragniere
Arantxa Sanchez Vicario, Jana Novotna
Mary Joe Fernandez, Helen Kelesi
Steffi Graf, Monica Seles
Arantxa Sanchez Vicario, Mary Joe Fernandez
Arantxa Sanchez Vicario, Steffi Graf
Steffi Graf, Julie Salmon
Kimberly Kessaris, Nathalie Herreman
Karine Quentrec, Sylvia Hanika
Anne Minter, Molly Van Nostrand
Terry Phelps, Iwona Kuczynska
Eva Sviglerova, Heather Ludloff
Claudia Porwik, Beth Herr
Monica Seles, Brenda Schultz Mccarthy
Lori Mcneil, Nicole Jagerman
Martina Pawlik, Beverly Bowes
Wendy Turnbull, Pascale Paradis Mangon
Judith Wiesner, Ann Grossman
Sophie Amiach, Amanda Grunfeld
Raffaella Reggi Concato, Petra Langrova
Julie Halard Decugis, Regina Rajchrtova
Arantxa Sanchez Vicario, Jana Pospisilova
Chris Evert, Mareen Louie Harper
Hu Na, Meredith Mcgrath
Anne Hobbs, Michelle Jaggard Lai
Gisele Miro, Elna Reinach
Clare Wood, Tracey Morton Rodgers
Patty Fendick, Jill Smoller
Ann Devries, Gigi Fernandez
Shaun Stafford, Helen Kelesi
Jana Novotna, Rene Simpson
Elise Burgin, Elly Hakami
Carrie Cunningham, Debbie Graham
Katrina Adams, Amanda Coetzer
Laura Golarsa, Mercedes Paz
Maria Strandlund Tomsvik, Betsy Nagelsen
Louise Field, Linda Ferrando
Zina Garrison, Kimiko Date Krumm
Helena Sukova, Monique Javer
Dianne Van Rensburg, Eva Krapl
Ann Henricksson, Stacey Martin
Claudia Kohde Kilsch, Nathalie Tauziat
Isabelle Demongeot, Nathalie Guerree Spitzer
Catarina Lindqvist Ryan, Cammy Macgregor
Eva Pfaff, Wendy White
Natalia Zvereva, Ronni Reis
Mary Joe Fernandez, Mary Lou Piatek
Louise Allen, Silke Meier
Catherine Tanvier, Akemi Nishiya
Amy Frazier, Anne Meredith
Tine Scheuer Larsen, Masako Yanagi
Liz Smylie, Jenny Byrne
Rosalyn Fairbank, Julie Richardson
Gabriela Sabatini, Dianne Fromholtz
Pam Shriver, Carin Bakkum
Sara Gomer, Leigh Anne Eldredge
Valda Lake, Sabrina Goles
Gretchen Magers, Manon Bollegraf
Iva Budarova, Kumiko Okamoto
Jo Anne Faull, Kathy Rinaldi Stunkel
Laura Arraya, Samantha Smith
Susan Sloane Lundy, Sandy Collins
Hana Mandlikova, Radomira Zrubakova
Catherine Suire, Akiko Kijimuta
Donna Faber, Larisa Savchenko
Janine Tremelling, Karen Schimper
Nicole Bradtke, Camille Benjamin
Robin White, Etsuko Inoue
Kristine Kunce, Andrea Temesvari
Martina Navratilova, Jill Hetherington
Steffi Graf, Kimberly Kessaris
Anne Minter, Karine Quentrec
Eva Sviglerova, Terry Phelps
Monica Seles, Claudia Porwik
Lori Mcneil, Martina Pawlik
Judith Wiesner, Wendy Turnbull
Raffaella Reggi Concato, Sophie Amiach
Arantxa Sanchez Vicario, Julie Halard Decugis
Chris Evert, Hu Na
Anne Hobbs, Gisele Miro
Patty Fendick, Clare Wood
Shaun Stafford, Ann Devries
Jana Novotna, Elise Burgin
Katrina Adams, Carrie Cunningham
Laura Golarsa, Maria Strandlund Tomsvik
Louise Field, Zina Garrison
Helena Sukova, Dianne Van Rensburg
Claudia Kohde Kilsch, Ann Henricksson
Catarina Lindqvist Ryan, Isabelle Demongeot
Natalia Zvereva, Eva Pfaff
Mary Joe Fernandez, Louise Allen
Catherine Tanvier, Amy Frazier
Liz Smylie, Tine Scheuer Larsen
Rosalyn Fairbank, Gabriela Sabatini
Pam Shriver, Sara Gomer
Gretchen Magers, Valda Lake
Jo Anne Faull, Iva Budarova
Laura Arraya, Susan Sloane Lundy
Hana Mandlikova, Catherine Suire
Donna Faber, Janine Tremelling
Nicole Bradtke, Robin White
Martina Navratilova, Kristine Kunce
Steffi Graf, Anne Minter
Monica Seles, Eva Sviglerova
Lori Mcneil, Judith Wiesner
Arantxa Sanchez Vicario, Raffaella Reggi Concato
Chris Evert, Anne Hobbs
Patty Fendick, Shaun Stafford
Jana Novotna, Katrina Adams
Laura Golarsa, Louise Field
Helena Sukova, Claudia Kohde Kilsch
Catarina Lindqvist Ryan, Natalia Zvereva
Mary Joe Fernandez, Catherine Tanvier
Rosalyn Fairbank, Liz Smylie
Gretchen Magers, Pam Shriver
Jo Anne Faull, Laura Arraya
Hana Mandlikova, Donna Faber
Martina Navratilova, Nicole Bradtke
Steffi Graf, Monica Seles
Arantxa Sanchez Vicario, Lori Mcneil
Chris Evert, Patty Fendick
Laura Golarsa, Jana Novotna
Catarina Lindqvist Ryan, Helena Sukova
Rosalyn Fairbank, Mary Joe Fernandez
Gretchen Magers, Jo Anne Faull
Martina Navratilova, Hana Mandlikova
Steffi Graf, Arantxa Sanchez Vicario
Chris Evert, Laura Golarsa
Catarina Lindqvist Ryan, Rosalyn Fairbank
Martina Navratilova, Gretchen Magers
Steffi Graf, Chris Evert
Martina Navratilova, Catarina Lindqvist Ryan
Steffi Graf, Martina Navratilova
Steffi Graf, Etsuko Inoue
Nathalie Herreman, Claudia Kohde Kilsch
Terry Phelps, Judith Wiesner
Robin White, Amy Frazier
Andrea Temesvari, Linda Wild
Florencia Labat, Catarina Lindqvist Ryan
