Catrin Jexell, Melissa Gurney
Camille Benjamin, Claudia Monteiro
Jamie Golder, Andrea Jaeger
Jo Durie, Lilian Drescher
Laura Arraya, Annabel Croft
Eva Pfaff, Pilar Vasquez
Isabelle Vernhes, Beth Herr
Jenny Klitch, Kim Steinmetz
Fiorella Bonicelli, Kathrin Keil
Petra Huber, Alycia Moulton
Carling Bassett Seguso, Candy Reynolds
Manuela Maleeva Fragniere, Barbara Gerken
Yvonne Vermaak, Julie Harrington
Mima Jausovec, Pam Casale
Patricia Medrado, Kim Jones
Myriam Schropp, Stephanie Rehe
Larisa Savchenko, Ann Henricksson
Masako Yanagi, Molly Van Nostrand
Chris Evert, Heidi Eisterlehner
Martina Navratilova, Marcella Mesker
Marie Christine Calleja, Catarina Lindqvist Ryan
Steffi Graf, Shelley Solomon
Claudia Kohde Kilsch, Sophie Amiach
Sylvia Hanika, Pam Teeguarden
Anne White, Isabelle Demongeot
Kathy Rinaldi Stunkel, Nathalie Herreman
Kathy Horvath, Etsuko Inoue
Hana Mandlikova, Susan Mascarin
Catherine Tanvier, Lori Mcneil
Elena Eliseenko, Natasha Reva
Petra Keppeler, Anne Hobbs
Michelle Torres, Rosalyn Fairbank
Melissa Brown, Wendy White
Raffaella Reggi Concato, Joanne Russell
Zina Garrison, Petra Delhees Jauch
Virginia Ruzici, Kathy Jordan
Iva Budarova, Tine Scheuer Larsen
Amy Holton, Paula Smith
Lisa Bonder Kreiss, Vicki Nelson
Sabrina Goles, Andrea Temesvari
Bettina Bunge, Rene Uys
Catrin Jexell, Marcela Skuherska
Camille Benjamin, Jamie Golder
Laura Arraya, Jo Durie
Eva Pfaff, Isabelle Vernhes
Jenny Klitch, Fiorella Bonicelli
Carling Bassett Seguso, Petra Huber
Manuela Maleeva Fragniere, Yvonne Vermaak
Mima Jausovec, Patricia Medrado
Larisa Savchenko, Myriam Schropp
Chris Evert, Masako Yanagi
Martina Navratilova, Marie Christine Calleja
Claudia Kohde Kilsch, Steffi Graf
Anne White, Sylvia Hanika
Kathy Horvath, Kathy Rinaldi Stunkel
Hana Mandlikova, Catherine Tanvier
Petra Keppeler, Elena Eliseenko
Melissa Brown, Michelle Torres
Zina Garrison, Raffaella Reggi Concato
Virginia Ruzici, Iva Budarova
Lisa Bonder Kreiss, Amy Holton
Sabrina Goles, Bettina Bunge
Camille Benjamin, Catrin Jexell
Laura Arraya, Eva Pfaff
Carling Bassett Seguso, Jenny Klitch
Manuela Maleeva Fragniere, Mima Jausovec
Chris Evert, Larisa Savchenko
Martina Navratilova, Claudia Kohde Kilsch
Kathy Horvath, Anne White
Hana Mandlikova, Petra Keppeler
Melissa Brown, Zina Garrison
Lisa Bonder Kreiss, Virginia Ruzici
Camille Benjamin, Sabrina Goles
Carling Bassett Seguso, Laura Arraya
Chris Evert, Manuela Maleeva Fragniere
Martina Navratilova, Kathy Horvath
Hana Mandlikova, Melissa Brown
Camille Benjamin, Lisa Bonder Kreiss
Chris Evert, Carling Bassett Seguso
Martina Navratilova, Hana Mandlikova
Chris Evert, Camille Benjamin
Martina Navratilova, Chris Evert
Martina Navratilova, Mareen Louie Harper
Amy Holton, Suzie Mair
Alycia Moulton, Tine Scheuer Larsen
Iva Budarova, Marcella Mesker
Gretchen Magers, Beth Herr
Liz Smylie, Robin White
Barbara Gerken, Corinne Vanier
Lisa Bonder Kreiss, Joanne Louis
Carling Bassett Seguso, Sharon Walsh Pete
Marie Christine Calleja, Nathalie Herreman
Mary Lou Piatek, Sylvia Hanika
Anne Hobbs, Candy Reynolds
Jenny Klitch, Sandy Collins
Yvonne Vermaak, Paula Smith
Natasha Reva, Pascale Paradis Mangon
Manuela Maleeva Fragniere, Jennifer Mundel
Pam Shriver, Eva Pfaff
Gigi Fernandez, Lilian Drescher
Wendy White, Mima Jausovec
Camille Benjamin, Andrea Leand
Melissa Brown, Rene Uys
Marcela Skuherska, Larisa Savchenko
Grace Kim, Etsuko Inoue
Barbara Potter, Catherine Suire
Wendy Turnbull, Shelly Walpole
Amanda Brown, Vicki Nelson
Felicia Raschiatore, Catrin Jexell
Svetlana Cherneva, Lucia Romanov
Julie Salmon, Laura Arraya
Beverly Mould, Kate Brasher
Virginia Ruzici, Rosalyn Fairbank
Kathy Jordan, Heather Ludloff
Kathy Horvath, Ginny Purdy
Bettina Bunge, Helene Pelletier
Sue Barker, Rene Mentz
Steffi Graf, Susan Mascarin
Kim Steinmetz, Kathy Rinaldi Stunkel
Tina Mochizuki, Katerina Bohmova
Elise Burgin, Kim Sands
Jo Durie, Kim Jones
Helena Sukova, Raffaella Reggi Concato
Sandra Cecchini, Kathleen Cummings
Pam Casale, Petra Huber
Pilar Vasquez, Sherry Acker
Pam Teeguarden, Kristin Kinney
Catherine Tanvier, Sally Reeves
Catarina Lindqvist Ryan, Leslie Allen
Hana Mandlikova, Elena Eliseenko
Zina Garrison, Rina Einy
Virginia Wade, Ann Henricksson
Christiane Jolissaint, Lori Mcneil
Carina Karlsson, Anne White
Sophie Amiach, Lea Antonoplis
Susan Leo, Terry Holladay
Claudia Monteiro, Anna Maria Fernandez
Andrea Temesvari, Jamie Golder
Claudia Kohde Kilsch, Barbi Bramblett
Sabina Simmonds, Terry Phelps
Ann Kiyomura Hayashi, Sara Gomer
Anne Minter, Nancy Yeargin
Michelle Torres, Patricia Medrado
Annabel Croft, Petra Delhees Jauch
Betsy Nagelsen, Rosie Casals
Chris Evert, Sabrina Goles
Martina Navratilova, Amy Holton
Iva Budarova, Alycia Moulton
Liz Smylie, Gretchen Magers
Lisa Bonder Kreiss, Barbara Gerken
Carling Bassett Seguso, Marie Christine Calleja
Anne Hobbs, Mary Lou Piatek
Yvonne Vermaak, Jenny Klitch
Manuela Maleeva Fragniere, Natasha Reva
Pam Shriver, Gigi Fernandez
Camille Benjamin, Wendy White
Marcela Skuherska, Melissa Brown
Barbara Potter, Grace Kim
Wendy Turnbull, Amanda Brown
Svetlana Cherneva, Felicia Raschiatore
Julie Salmon, Beverly Mould
Kathy Jordan, Virginia Ruzici
Bettina Bunge, Kathy Horvath
Steffi Graf, Sue Barker
Kim Steinmetz, Tina Mochizuki
Jo Durie, Elise Burgin
Helena Sukova, Sandra Cecchini
Pam Casale, Pilar Vasquez
Catherine Tanvier, Pam Teeguarden
Hana Mandlikova, Catarina Lindqvist Ryan
Virginia Wade, Zina Garrison
Carina Karlsson, Christiane Jolissaint
Susan Leo, Sophie Amiach
Andrea Temesvari, Claudia Monteiro
Claudia Kohde Kilsch, Sabina Simmonds
Ann Kiyomura Hayashi, Anne Minter
Annabel Croft, Michelle Torres
Chris Evert, Betsy Nagelsen
Martina Navratilova, Iva Budarova
Liz Smylie, Lisa Bonder Kreiss
Anne Hobbs, Carling Bassett Seguso
Manuela Maleeva Fragniere, Yvonne Vermaak
Pam Shriver, Camille Benjamin
Barbara Potter, Marcela Skuherska
Wendy Turnbull, Svetlana Cherneva
Kathy Jordan, Julie Salmon
Steffi Graf, Bettina Bunge
Jo Durie, Kim Steinmetz
Helena Sukova, Pam Casale
Hana Mandlikova, Catherine Tanvier
Carina Karlsson, Virginia Wade
Andrea Temesvari, Susan Leo
Claudia Kohde Kilsch, Ann Kiyomura Hayashi
Chris Evert, Annabel Croft
Martina Navratilova, Liz Smylie
Manuela Maleeva Fragniere, Anne Hobbs
Pam Shriver, Barbara Potter
Kathy Jordan, Wendy Turnbull
Jo Durie, Steffi Graf
Hana Mandlikova, Helena Sukova
