Richard Gasquet, Jerzy Janowicz
Alejandro Gonzalez, Facundo Bagnis
Nicolas Jarry, Gonzalo Escobar
Dusan Lajovic, Luca Vanni
Gerald Melzer, Andreas Haider Maurer
Alejandro Falla, Joao Souza
Paolo Lorenzi, Adrian Menendez Maceiras
Victor Estrella, Andre Ghem
Renzo Olivo, Evgeny Donskoy
Daniel Gimeno Traver, Marton Fucsovics
Thomaz Bellucci, Giovanni Lapentti
Horacio Zeballos, Austin Krajicek
Albert Montanes, Facundo Arguello
Feliciano Lopez, Alejandro Gonzalez
Dusan Lajovic, Nicolas Jarry
Fernando Verdasco, Gerald Melzer
Paolo Lorenzi, Alejandro Falla
Victor Estrella, Renzo Olivo
Martin Klizan, Daniel Gimeno Traver
Thomaz Bellucci, Horacio Zeballos
Albert Montanes, Santiago Giraldo
Feliciano Lopez, Dusan Lajovic
Fernando Verdasco, Paolo Lorenzi
Victor Estrella, Martin Klizan
Thomaz Bellucci, Albert Montanes
Feliciano Lopez, Fernando Verdasco
Victor Estrella, Thomaz Bellucci
Victor Estrella, Feliciano Lopez
Marcos Baghdatis, Toni Androic
Sergiy Stakhovsky, Borna Coric
Mikhail Youzhny, Blaz Kavcic
Damir Dzumhur, Michael Berrer
Go Soeda, Matthias Bachinger
Viktor Troicki, Illya Marchenko
Andreas Seppi, Robin Haase
James Ward, Antonio Veic
Ricardas Berankis, Lukas Lacko
Marcel Granollers, Jurgen Melzer
Ivan Dodig, Mate Delic
Igor Sijsling, Frank Dancevic
Marcos Baghdatis, Ivo Karlovic
Mikhail Youzhny, Sergiy Stakhovsky
Guillermo Garcia Lopez, Damir Dzumhur
Viktor Troicki, Go Soeda
Andreas Seppi, James Ward
Ricardas Berankis, Gilles Muller
Marcel Granollers, Ivan Dodig
Igor Sijsling, Adrian Mannarino
Marcos Baghdatis, Mikhail Youzhny
Guillermo Garcia Lopez, Viktor Troicki
Andreas Seppi, Ricardas Berankis
Marcel Granollers, Igor Sijsling
Guillermo Garcia Lopez, Marcos Baghdatis
Andreas Seppi, Marcel Granollers
Guillermo Garcia Lopez, Andreas Seppi
Ryan Harrison, Malek Jaziri
Austin Krajicek, Mikhail Kukushkin
Ivo Karlovic, Lukas Lacko
Ivan Dodig, Teymuraz Gabashvili
Jared Donaldson, Stefan Kozlov
Sam Querrey, Benjamin Becker
Donald Young, Adrian Mannarino
Denis Kudla, Thanasi Kokkinakis
Bernard Tomic, Igor Sijsling
Steve Johnson, Filip Krajinovic
Dustin Brown, Marinko Matosevic
Sam Groth, Yen Hsun Lu
Kei Nishikori, Ryan Harrison
Austin Krajicek, Ivo Karlovic
John Isner, Ivan Dodig
Sam Querrey, Jared Donaldson
Donald Young, Denis Kudla
Bernard Tomic, Alexandr Dolgopolov
Steve Johnson, Dustin Brown
Kevin Anderson, Sam Groth
Kei Nishikori, Austin Krajicek
Sam Querrey, John Isner
Donald Young, Bernard Tomic
Kevin Anderson, Steve Johnson
Kei Nishikori, Sam Querrey
Kevin Anderson, Donald Young
Kei Nishikori, Kevin Anderson
Andy Murray, Nicolas Mahut
Vasek Pospisil, Philipp Kohlschreiber
Jeremy Chardy, Julien Benneteau
Gilles Simon, Joao Sousa
Tomas Berdych, Tobias Kamke
Andreas Seppi, Robin Haase
Gael Monfils, Edouard Roger-Vasselin
Roberto Bautista Agut, Alexander Zverev
Grigor Dimitrov, Paul Henri Mathieu
Gilles Muller, David Goffin
Guillermo Garcia Lopez, Denis Istomin
Stan Wawrinka, Jesse Huta Galung
Dominic Thiem, Ernests Gulbis
Sergiy Stakhovsky, Marcel Granollers
Simone Bolelli, Lukas Rosol
Milos Raonic, Andrey Kuznetsov
Andy Murray, Vasek Pospisil
Gilles Simon, Jeremy Chardy
Tomas Berdych, Andreas Seppi
Gael Monfils, Roberto Bautista Agut
Gilles Muller, Grigor Dimitrov
Stan Wawrinka, Guillermo Garcia Lopez
Sergiy Stakhovsky, Dominic Thiem
Milos Raonic, Simone Bolelli
Gilles Simon, Andy Murray
Tomas Berdych, Gael Monfils
Stan Wawrinka, Gilles Muller
Milos Raonic, Sergiy Stakhovsky
Tomas Berdych, Gilles Simon
Stan Wawrinka, Milos Raonic
Stan Wawrinka, Tomas Berdych
Thiemo De Bakker, Juan Monaco
Dusan Lajovic, Pablo Andujar
Fernando Verdasco, Maximo Gonzalez
Albert Ramos, Guilherme Clezar
Joao Souza, Pablo Carreno Busta
Martin Klizan, Thomaz Bellucci
Santiago Giraldo, Kimmer Coppejans
Carlos Berlocq, Guido Pella
Diego Schwartzman, Paolo Lorenzi
Pablo Cuevas, Jiri Vesely
Facundo Bagnis, Federico Delbonis
Nicolas Almagro, Blaz Rola
Luca Vanni, Thiemo De Bakker
Dusan Lajovic, Fernando Verdasco
Leonardo Mayer, Albert Ramos
Joao Souza, Martin Klizan
Santiago Giraldo, Carlos Berlocq
Fabio Fognini, Diego Schwartzman
Pablo Cuevas, Facundo Bagnis
Nicolas Almagro, Tommy Robredo
Luca Vanni, Dusan Lajovic
Joao Souza, Leonardo Mayer
Santiago Giraldo, Fabio Fognini
Pablo Cuevas, Nicolas Almagro
Luca Vanni, Joao Souza
Pablo Cuevas, Santiago Giraldo
Pablo Cuevas, Luca Vanni
Kevin Anderson, John Patrick Smith
Yen Hsun Lu, Sam Groth
Denis Kudla, Lukas Lacko
Adrian Mannarino, Eric Quigley
Ivo Karlovic, Dustin Brown
Thanasi Kokkinakis, Filip Krajinovic
Andrey Rublev, Dudi Sela
Steve Johnson, Mikhail Kukushkin
Alejandro Gonzalez, Sam Querrey
Donald Young, Ivan Dodig
Tim Smyczek, Stefan Kozlov
Alexandr Dolgopolov, Teymuraz Gabashvili
Viktor Troicki, Stephane Robert
Bernard Tomic, Malek Jaziri
Yoshihito Nishioka, Igor Sijsling
Marinko Matosevic, John Isner
Yen Hsun Lu, Kevin Anderson
Adrian Mannarino, Denis Kudla
Ivo Karlovic, Thanasi Kokkinakis
Steve Johnson, Andrey Rublev
Donald Young, Alejandro Gonzalez
Alexandr Dolgopolov, Tim Smyczek
Bernard Tomic, Viktor Troicki
Yoshihito Nishioka, Marinko Matosevic
Adrian Mannarino, Yen Hsun Lu
Ivo Karlovic, Steve Johnson
Donald Young, Alexandr Dolgopolov
