Martina Navratilova, Marijke Jansen
Renata Tomanova, Elly Appel
Ilana Kloss, Ellen Grindvold
Linky Boshoff, Bente Kjolstad
Virginia Wade, Carmen Perea Alcala
Glynis Coles, Maria Victoria Baldovinos Cibeira
Flore Wagner, Cristina Ribeiro Britto
Wanda Ferraz De Oliveira, Monique Krecke
Helena Anliot, Judy Chaloner
Ingrid Bentzer, Pauline Elliott
Julie Heldman, Ilana Kloss
Linky Boshoff, Kathy Kuykendall
Julie Heldman, Evagreth Emmenegger
Kathy Kuykendall, Marianne Kindler
Chris Evert, Ingrid Bentzer
Wendy Overton, Kate Latham
Marcie Louie, Mariana Simionescu
Sue Stap, Valerie Ziegenfuss
Lesley Hunt, Raquel Giscafre
Nancy Richey, Patti Hogan
Rosie Casals, Carrie Meyer
Martina Navratilova, Susie Mehmedbasich
Virginia Wade, Virginia Ruzici
Robin Tenney, Betty Stove
Pam Teeguarden, Kristien Shaw
Julie Heldman, Donna Ganz
Tine Zwaan, Mima Jausovec
Francoise Durr, Barbara Downs
Kathy Kuykendall, Ann Kiyomura Hayashi
Billie Jean King, Betty Ann Grubb
Chris Evert, Wendy Overton
Sue Stap, Marcie Louie
Nancy Richey, Lesley Hunt
Martina Navratilova, Rosie Casals
Virginia Wade, Robin Tenney
Julie Heldman, Pam Teeguarden
Francoise Durr, Tine Zwaan
Billie Jean King, Kathy Kuykendall
Chris Evert, Sue Stap
Martina Navratilova, Nancy Richey
Virginia Wade, Julie Heldman
Billie Jean King, Francoise Durr
Chris Evert, Martina Navratilova
Billie Jean King, Virginia Wade
Virginia Wade, Martina Navratilova
Chris Evert, Billie Jean King
Chris Evert, Betty Stove
Mona Guerrant, Raquel Giscafre
Francoise Durr, Jeanne Evert
Martina Navratilova, Terry Holladay
Mima Jausovec, Betsy Nagelsen
Janet Newberry, Kerry Reid
Brigette Cuypers, Lesley Hunt
Virginia Wade, Laura Dupont
Olga Morozova, Wendy Overton
Sharon Walsh Pete, Linky Boshoff
Kathy Kuykendall, Pam Teeguarden
Nancy Richey, Dianne Fromholtz
Ann Kiyomura Hayashi, Valerie Ziegenfuss
Julie Heldman, Helen Gourlay
Marcie Louie, Ilana Kloss
Margaret Court, Karen Krantzcke
Chris Evert, Mona Guerrant
Martina Navratilova, Francoise Durr
Mima Jausovec, Janet Newberry
Virginia Wade, Brigette Cuypers
Olga Morozova, Sharon Walsh Pete
Nancy Richey, Kathy Kuykendall
Julie Heldman, Ann Kiyomura Hayashi
Margaret Court, Marcie Louie
Chris Evert, Martina Navratilova
Virginia Wade, Mima Jausovec
Olga Morozova, Nancy Richey
Margaret Court, Julie Heldman
Chris Evert, Virginia Wade
Margaret Court, Olga Morozova
Chris Evert, Margaret Court
Chris Evert, Raquel Giscafre
Dianne Fromholtz, Patti Hogan
Kathy Kuykendall, Kristien Shaw
Martina Navratilova, Nancy Ornstein
Marcie Louie, Julie Heldman
Valerie Ziegenfuss, Laurie Fleming
Karen Krantzcke, Linky Boshoff
Virginia Wade, Sharon Walsh Pete
Kerry Reid, Pam Teeguarden
Betty Stove, Ann Kiyomura Hayashi
Francoise Durr, Betsy Nagelsen
Janet Newberry, Mima Jausovec
Wendy Overton, Ilana Kloss
Carrie Meyer, Helen Gourlay
Mona Guerrant, Jeanne Evert
Margaret Court, Kate Latham
Chris Evert, Dianne Fromholtz
Martina Navratilova, Kathy Kuykendall
Valerie Ziegenfuss, Marcie Louie
Virginia Wade, Karen Krantzcke
Kerry Reid, Betty Stove
Janet Newberry, Francoise Durr
Wendy Overton, Carrie Meyer
Margaret Court, Mona Guerrant
Martina Navratilova, Chris Evert
Virginia Wade, Valerie Ziegenfuss
Kerry Reid, Janet Newberry
Margaret Court, Wendy Overton
Martina Navratilova, Virginia Wade
Kerry Reid, Margaret Court
Margaret Court, Virginia Wade
Martina Navratilova, Kerry Reid
Chris Evert, Sue Stap
Kathy Kuykendall, Paulina Peisachov
Julie Heldman, Robin Tenney
Dianne Fromholtz, Valerie Ziegenfuss
Olga Morozova, Betty Stove
Pam Teeguarden, Carrie Meyer
Martina Navratilova, Ann Kiyomura Hayashi
Marcie Louie, Raquel Giscafre
Sharon Walsh Pete, Susie Mehmedbasich
Nancy Richey, Mima Jausovec
Karen Krantzcke, Kristien Shaw
Margaret Court, Lesley Hunt
Mona Guerrant, Brigette Cuypers
Wendy Overton, Ilana Kloss
Francoise Durr, Marita Redondo
Evonne Goolagong, Patti Hogan
Chris Evert, Kathy Kuykendall
Julie Heldman, Dianne Fromholtz
Olga Morozova, Pam Teeguarden
Martina Navratilova, Marcie Louie
Nancy Richey, Sharon Walsh Pete
Margaret Court, Karen Krantzcke
Wendy Overton, Mona Guerrant
Evonne Goolagong, Francoise Durr
Chris Evert, Julie Heldman
Martina Navratilova, Olga Morozova
Margaret Court, Nancy Richey
Wendy Overton, Evonne Goolagong
Martina Navratilova, Chris Evert
Margaret Court, Wendy Overton
Chris Evert, Wendy Overton
Margaret Court, Martina Navratilova
Billie Jean King, Pam Teeguarden
Julie Anthony, Kathy May
Wendy Overton, Isabel Fernandez De Soto
Jeanne Evert, Terry Holladay
Evonne Goolagong, Renata Tomanova
Mona Guerrant, Susie Mehmedbasich
Virginia Wade, Katja Ebbinghaus
Lesley Hunt, Laura Dupont
Linky Boshoff, Rosie Casals
Olga Morozova, Wendy Turnbull
Carrie Meyer, Nathalie Fuchs
Martina Navratilova, Dianne Fromholtz
Janet Newberry, Maria Teresa Nasuelli
Nancy Richey, Brigette Cuypers
Betty Stove, Helen Gourlay
Chris Evert, Ilana Kloss
Billie Jean King, Julie Anthony
Wendy Overton, Jeanne Evert
Evonne Goolagong, Mona Guerrant
Virginia Wade, Lesley Hunt
Olga Morozova, Linky Boshoff
Martina Navratilova, Carrie Meyer
Nancy Richey, Janet Newberry
Chris Evert, Betty Stove
Billie Jean King, Wendy Overton
Virginia Wade, Evonne Goolagong
Martina Navratilova, Olga Morozova
Chris Evert, Nancy Richey
Virginia Wade, Billie Jean King
Chris Evert, Martina Navratilova
Virginia Wade, Chris Evert
Marcie Louie, Nancy Richey
Julie Heldman, Raquel Giscafre
Olga Morozova, Sue Stap
Virginia Wade, Wendy Overton
Martina Navratilova, Kathy Kuykendall
Evonne Goolagong, Valerie Ziegenfuss
Chris Evert, Janet Newberry
Mona Guerrant, Francoise Durr
Chris Evert, Marcie Louie
Evonne Goolagong, Olga Morozova
Chris Evert, Olga Morozova
Evonne Goolagong, Marcie Louie
Olga Morozova, Marcie Louie
Chris Evert, Evonne Goolagong
Martina Navratilova, Julie Heldman
Virginia Wade, Mona Guerrant
Martina Navratilova, Mona Guerrant
Virginia Wade, Julie Heldman
Julie Heldman, Mona Guerrant
Martina Navratilova, Virginia Wade
Mona Guerrant, Marcie Louie
Olga Morozova, Julie Heldman
Virginia Wade, Evonne Goolagong
Chris Evert, Martina Navratilova
Chris Evert, Carrie Meyer
Rosie Casals, Sharon Walsh Pete
Lesley Hunt, Robin Tenney
Francoise Durr, Pam Teeguarden
Kathy May, Laurie Fleming
Virginia Wade, Sue Stap
Janet Newberry, Wendy Overton
Evonne Goolagong, Barbara Downs
Olga Morozova, Roberta Stark
Betty Stove, Kerry Reid
Marcie Louie, Margaret Court
Wendy Turnbull, Zenda Liess
Jeanne Evert, Donna Ganz
Julie Heldman, Julie Anthony
Nancy Richey, Laura Dupont
Martina Navratilova, Kathy Kuykendall
Chris Evert, Rosie Casals
Francoise Durr, Lesley Hunt
Virginia Wade, Kathy May
Evonne Goolagong, Janet Newberry
Olga Morozova, Betty Stove
Marcie Louie, Wendy Turnbull
Julie Heldman, Jeanne Evert
Martina Navratilova, Nancy Richey
Chris Evert, Francoise Durr
Evonne Goolagong, Virginia Wade
Olga Morozova, Marcie Louie
Martina Navratilova, Julie Heldman
Chris Evert, Evonne Goolagong
Martina Navratilova, Olga Morozova
Chris Evert, Martina Navratilova
Rosalba Vido, Sue Mappin
Glynis Coles, Lita Liem
Donna Ganz, Janet Haas
Fiorella Bonicelli, Julie Anthony
Renata Tomanova, Michele Gurdal
Helena Anliot, Maria Victoria Baldovinos Cibeira
Beatriz Araujo, Maria Teresa Nasuelli
Marie Pinterova, Florenta Mihai
Rosie Reyes, Robin Tenney
Monique Salfati, Lesley Charles
Daniela Marzano, Mariana Simionescu
Virginia Ruzici, Lea Pericoli
Laurie Fleming, Lucia Bassi
Laurie Tenney, Florence Guedy
Nathalie Fuchs, Sharon Walsh Pete
Eva Szabo, Paulina Peisachov
Chris Evert, Rosalba Vido
Sue Barker, Glynis Coles
Jeanne Evert, Donna Ganz
Fiorella Bonicelli, Raquel Giscafre
Helga Masthoff, Renata Tomanova
Helena Anliot, Elvira Weisenberger
Mima Jausovec, Beatriz Araujo
Janet Newberry, Marie Pinterova
Katja Ebbinghaus, Rosie Reyes
Pam Teeguarden, Monique Salfati
Betsy Nagelsen, Daniela Marzano
Dianne Fromholtz, Virginia Ruzici
Linky Boshoff, Laurie Fleming
Kazuko Sawamatsu, Laurie Tenney
Ingrid Bentzer, Nathalie Fuchs
Martina Navratilova, Eva Szabo
Chris Evert, Sue Barker
Fiorella Bonicelli, Jeanne Evert
Helga Masthoff, Helena Anliot
Mima Jausovec, Janet Newberry
Katja Ebbinghaus, Pam Teeguarden
Dianne Fromholtz, Betsy Nagelsen
Linky Boshoff, Kazuko Sawamatsu
Martina Navratilova, Ingrid Bentzer
Chris Evert, Fiorella Bonicelli
Mima Jausovec, Helga Masthoff
Dianne Fromholtz, Katja Ebbinghaus
Martina Navratilova, Linky Boshoff
Chris Evert, Mima Jausovec
Martina Navratilova, Dianne Fromholtz
Chris Evert, Martina Navratilova
Sharon Walsh Pete, Kate Latham
Sue Mappin, Ingrid Bentzer
Kathy Kuykendall, Robin Tenney
Natasha Chmyreva, Tine Zwaan
Brigette Cuypers, Judy Chaloner
Cecilia Martinez, Elvira Weisenberger
Janet Newberry, Dianne Fromholtz
Cynthia Doerner, Ilana Kloss
Terry Holladay, Laura Dupont
Beverly Buckley, Linda Thomas
Elizabeth Vlotman, Regina Marsikova
Sue Stap, Jenny Dimond
Marina Kroschina, Wendy Turnbull
Mary Struthers, Lindsey Beaven
Mary Ann Eisel, Bunny Bruning
Maria Bueno, Julie Anthony
Glynis Coles, Wendy Gilchrist
Valerie Ziegenfuss, Susie Mehmedbasich
Renata Tomanova, Linky Boshoff
Sally Moore, Laurie Tenney
Carrie Meyer, Barbara Downs
Betsy Nagelsen, Jeanne Evert
Sue Barker, Roberta Stark
Lesley Hunt, Michele Gurdal
Chris Evert, Sharon Walsh Pete
Sue Mappin, Kathy Kuykendall
Natasha Chmyreva, Rosie Casals
Brigette Cuypers, Cecilia Martinez
Olga Morozova, Janet Newberry
Terry Holladay, Cynthia Doerner
Francoise Durr, Beverly Buckley
Sue Stap, Elizabeth Vlotman
Marina Kroschina, Mary Struthers
Wendy Overton, Mary Ann Eisel
Maria Bueno, Glynis Coles
Martina Navratilova, Valerie Ziegenfuss
Renata Tomanova, Sally Moore
Carrie Meyer, Betty Stove
Sue Barker, Betsy Nagelsen
Virginia Wade, Lesley Hunt
Chris Evert, Sue Mappin
Brigette Cuypers, Natasha Chmyreva
Terry Holladay, Olga Morozova
Francoise Durr, Sue Stap
Marina Kroschina, Wendy Overton
Martina Navratilova, Maria Bueno
Carrie Meyer, Renata Tomanova
Virginia Wade, Sue Barker
Chris Evert, Brigette Cuypers
Francoise Durr, Terry Holladay
Martina Navratilova, Marina Kroschina
Virginia Wade, Carrie Meyer
Chris Evert, Francoise Durr
Martina Navratilova, Virginia Wade
Chris Evert, Martina Navratilova
Evonne Goolagong, Carol Sherriff
Diane Eastburn, Kym Ruddell
Kathleen Harter, Dianne Evers
Chris Oneil, J Carey
Helga Masthoff, Jenny Dimond
Cheryl Mccann, C Pearson
Michele Gurdal, Nerida Gregory
Michelle Tyler, Julie Hanrahan
Heidi Eisterlehner, Kaye Hallam
Helen Gourlay, Pam Whytcross
Lesley Turner, Rene Blount
Wendy Turnbull, Renata Tomanova
Cathy Griffiths, R Daub
Chris Matison, Jenny Walker
Brigitte Simon Glinel, Gai Healey
Sue Barker, Heather Dahlgren
Evonne Goolagong, Diane Eastburn
Kathleen Harter, Chris Oneil
Helga Masthoff, Cheryl Mccann
Michelle Tyler, Michele Gurdal
Heidi Eisterlehner, Helen Gourlay
Wendy Turnbull, Lesley Turner
Chris Matison, Cathy Griffiths
Sue Barker, Brigitte Simon Glinel
Evonne Goolagong, Kathleen Harter
Helga Masthoff, Michelle Tyler
Wendy Turnbull, Heidi Eisterlehner
Sue Barker, Chris Matison
Evonne Goolagong, Helga Masthoff
Sue Barker, Wendy Turnbull
Evonne Goolagong, Sue Barker
Chris Evert, Patti Hogan
Tine Zwaan, Kate Latham
Raquel Giscafre, Ilana Kloss
Martina Navratilova, Betty Ann Grubb
Lesley Hunt, Ingrid Bentzer
Nancy Richey, Ann Kiyomura Hayashi
Betty Stove, Mona Guerrant
Virginia Wade, Kristien Shaw
Julie Heldman, Mima Jausovec
Kathy Kuykendall, Mariana Simionescu
Carrie Meyer, Pam Teeguarden
Kerry Reid, Laurie Fleming
Wendy Overton, Jeanne Evert
Valerie Ziegenfuss, Helen Gourlay
Sue Stap, Virginia Ruzici
Billie Jean King, Janet Newberry
Chris Evert, Tine Zwaan
Raquel Giscafre, Martina Navratilova
Nancy Richey, Lesley Hunt
Virginia Wade, Betty Stove
Julie Heldman, Kathy Kuykendall
Kerry Reid, Carrie Meyer
Wendy Overton, Valerie Ziegenfuss
Billie Jean King, Sue Stap
Chris Evert, Raquel Giscafre
Virginia Wade, Nancy Richey
Julie Heldman, Kerry Reid
Billie Jean King, Wendy Overton
Chris Evert, Virginia Wade
Billie Jean King, Julie Heldman
Julie Heldman, Virginia Wade
Billie Jean King, Chris Evert
Evonne Goolagong, Sharon Walsh Pete
Lesley Hunt, Mima Jausovec
Janet Newberry, Ann Kiyomura Hayashi
Marcie Louie, Robin Tenney
Martina Navratilova, Linky Boshoff
Dianne Fromholtz, Kate Latham
Kathy Kuykendall, Kerry Reid
Betty Stove, Helen Gourlay
Kristien Shaw, Patti Hogan
Francoise Durr, Mona Guerrant
Brigette Cuypers, Carrie Meyer
Olga Morozova, Susie Mehmedbasich
Raquel Giscafre, Laurie Fleming
Marita Redondo, Sue Stap
Ilana Kloss, Karen Krantzcke
Margaret Court, Kathy May
Evonne Goolagong, Lesley Hunt
Marcie Louie, Janet Newberry
Martina Navratilova, Dianne Fromholtz
Betty Stove, Kathy Kuykendall
Francoise Durr, Kristien Shaw
Olga Morozova, Brigette Cuypers
Raquel Giscafre, Marita Redondo
Margaret Court, Ilana Kloss
Evonne Goolagong, Marcie Louie
Martina Navratilova, Betty Stove
Francoise Durr, Olga Morozova
Margaret Court, Raquel Giscafre
Evonne Goolagong, Martina Navratilova
Margaret Court, Francoise Durr
Martina Navratilova, Francoise Durr
Evonne Goolagong, Margaret Court
Margaret Court, Brigette Cuypers
Linky Boshoff, Pam Teeguarden
Helen Gourlay, Wendy Overton
Lesley Hunt, Donna Ganz
Martina Navratilova, Robin Tenney
Julie Anthony, Ann Kiyomura Hayashi
Virginia Wade, Janet Newberry
Kathy Kuykendall, Sharon Walsh Pete
Valerie Ziegenfuss, Jeanne Evert
Olga Morozova, Mima Jausovec
Susie Mehmedbasich, Laurie Fleming
Evonne Goolagong, Ilana Kloss
Sue Stap, Kerry Reid
Julie Heldman, Terry Holladay
Marina Kroschina, Carrie Meyer
Chris Evert, Dianne Fromholtz
