Jenny Walker, Chris Matison
Katja Ebbinghaus, Laurie Fleming
Tine Zwaan, Karen Krantzcke
Evonne Goolagong, Jeanne Evert
Carrie Meyer, Julie Anthony
Cecilia Martinez, Kathy Kuykendall
Kate Latham, Sue Stap
Kerry Reid, Ana Maria Arias
Francoise Durr, Janet Haas
Sue Mappin, Lea Antonoplis
Mima Jausovec, Kristien Shaw
Lesley Hunt, Kazuko Sawamatsu
Lindsey Beaven, Helle Sparre
Patti Hogan, Sally Greer
Helen Gourlay, Raquel Giscafre
Chris Evert, Gail Sherriff
Billie Jean King, Sharon Walsh Pete
Betsy Nagelsen, Pam Teeguarden
Rosie Casals, Ilana Kloss
Dianne Fromholtz, Mariana Simionescu
Martina Navratilova, Betty Stove
Julie Heldman, Janet Young
Ann Kiyomura Hayashi, Virginia Wade
Nancy Richey, Trish Mcclenaughan
Katja Ebbinghaus, Paulina Peisachov
Evonne Goolagong, Tine Zwaan
Carrie Meyer, Cecilia Martinez
Kerry Reid, Kate Latham
Sue Mappin, Francoise Durr
Lesley Hunt, Mima Jausovec
Patti Hogan, Lindsey Beaven
Chris Evert, Helen Gourlay
Billie Jean King, Betsy Nagelsen
Rosie Casals, Dianne Fromholtz
Julie Heldman, Martina Navratilova
Nancy Richey, Ann Kiyomura Hayashi
Evonne Goolagong, Katja Ebbinghaus
Kerry Reid, Carrie Meyer
Lesley Hunt, Sue Mappin
Chris Evert, Patti Hogan
Billie Jean King, Rosie Casals
Julie Heldman, Nancy Richey
Evonne Goolagong, Kerry Reid
Chris Evert, Lesley Hunt
Billie Jean King, Julie Heldman
Evonne Goolagong, Chris Evert
Billie Jean King, Evonne Goolagong
Paulina Peisachov, Ellen Grindvold
Bente Kjolstad, Janine Strauss
Evonne Goolagong, Virginia Wade
Dianne Fromholtz, Glynis Coles
Andree Martin, Anne Mette Sorensen
Jane Ohara, Helle Sparre
Geraldine Barniville, Marijke Jansen
Elly Appel, Helen Lennon
Lea Pericoli, Paulina Peisachov
Monique Salfati, Janine Strauss
Barbara Kral, Josiane Graas
Elzbieta Slesicka, Monique Krecke
Maria Hollingsworth, Marisa Sanchez
Veronika Buche, Cleopatra Lopez
Kazuko Sawamatsu, Ana Maria Arias
Michelle Rodriguez, Hideko Goto
Ellen Grindvold, Ana Maria Arias
Michelle Rodriguez, Kirsten Robsahm
Marijke Jansen, Andree Martin
Elly Appel, Jane Ohara
Maria Hollingsworth, Josiane Graas
Veronika Buche, Monique Krecke
Helga Masthoff, Andree Martin
Helga Schultze, Jane Ohara
Kazuko Sawamatsu, Marijke Jansen
Hideko Goto, Elly Appel
Kazuko Sawamatsu, Barbara Kral
Elzbieta Slesicka, Hideko Goto
Evonne Goolagong, Julie Heldman
Jeanne Evert, Dianne Fromholtz
Raquel Giscafre, Michele Gurdal
Elvira Weisenberger, Monique Van Haver
Evonne Goolagong, Kazuko Sawamatsu
Dianne Fromholtz, Hideko Goto
Michele Gurdal, Maria Hollingsworth
Monique Van Haver, Veronika Buche
Anne Mette Sorensen, Christina Sandberg
Margareta Strandberg, Helle Sparre
Gail Sherriff, Maria Hollingsworth
Odile De Roubin, Veronika Buche
Raquel Giscafre, Kazuko Sawamatsu
Hideko Goto, Elvira Weisenberger
Paulina Peisachov, Lany Kaligis
Janine Strauss, Lita Liem
Raquel Giscafre, Virginia Ruzici
Mariana Simionescu, Beatriz Araujo
Raquel Giscafre, Robyn Legge
Elvira Weisenberger, Judy Chaloner
Raquel Giscafre, Ellen Grindvold
Beatriz Araujo, Bente Kjolstad
Virginia Wade, Geraldine Barniville
Glynis Coles, Helen Lennon
Virginia Wade, Patricia Walkden
Ilana Kloss, Glynis Coles
Virginia Wade, Ellen Grindvold
Glynis Coles, Bente Kjolstad
Gail Sherriff, Marijke Jansen
Odile De Roubin, Elly Appel
Julie Heldman, Gail Sherriff
Jeanne Evert, Odile De Roubin
Helga Masthoff, Virginia Ruzici
Helga Schultze, Mariana Simionescu
Evonne Goolagong, Lea Pericoli
Dianne Fromholtz, Monique Salfati
Helga Masthoff, Julie Heldman
Jeanne Evert, Helga Schultze
Lea Pericoli, Michele Gurdal
Monique Salfati, Monique Van Haver
Carmen Perea Alcala, Lany Kaligis
Lita Liem, Maria Victoria Baldovinos Cibeira
Helga Masthoff, Carmen Perea Alcala
Katja Ebbinghaus, Maria Victoria Baldovinos Cibeira
Patricia Walkden, Marianne Kindler
Ilana Kloss, Susi Eichenberger
Carmen Perea Alcala, Robyn Legge
Maria Victoria Baldovinos Cibeira, Judy Chaloner
Christina Sandberg, Virginia Ruzici
Mariana Simionescu, Margareta Strandberg
Michele Gurdal, Lany Kaligis
Lita Liem, Monique Van Haver
Christina Sandberg, Marisa Sanchez
Margareta Strandberg, Cleopatra Lopez
Barbara Kral, Christina Sandberg
Elzbieta Slesicka, Margareta Strandberg
Barbara Kral, Marianne Kindler
Elzbieta Slesicka, Susi Eichenberger
Julie Heldman, Barbara Kral
Jeanne Evert, Elzbieta Slesicka
Chris Evert, Martina Navratilova
Valerie Ziegenfuss, Robin Tenney
Marita Redondo, Marijke Jansen
Laurie Fleming, Katja Ebbinghaus
Kerry Reid, Kerry Harris
Laura Dupont, Isabel Fernandez De Soto
Karen Krantzcke, Francoise Durr
Janet Newberry, Pam Teeguarden
Kathy Kuykendall, Barbara Downs
Rosie Casals, Glynis Coles
Karen Susman, Lesley Hunt
Nancy Richey, Tory Ann Fretz
Helen Gourlay, Marcie Louie
Wendy Overton, Kristien Shaw
Betty Stove, Ching Ling Chang
Billie Jean King, Mima Jausovec
Chris Evert, Valerie Ziegenfuss
Laurie Fleming, Marita Redondo
Kerry Reid, Laura Dupont
Janet Newberry, Karen Krantzcke
Rosie Casals, Kathy Kuykendall
Nancy Richey, Karen Susman
Wendy Overton, Helen Gourlay
Billie Jean King, Betty Stove
Chris Evert, Laurie Fleming
Kerry Reid, Janet Newberry
Nancy Richey, Rosie Casals
Billie Jean King, Wendy Overton
Chris Evert, Kerry Reid
Billie Jean King, Nancy Richey
Kerry Reid, Nancy Richey
Billie Jean King, Chris Evert
Beatrix Klein, Rosalba Vido
Miroslava Kozeluhova, Monique Salfati
Maria Teresa Nasuelli, Ana Maria Arias
Janet Haas, Silvana Belardinelli
Mariana Simionescu, Nancy Ornstein
Eva Szabo, Laurie Tenney
Raquel Giscafre, Elvira Weisenberger
Nathalie Fuchs, Lindsey Beaven
Christina Sandberg, Daniela Marzano
Wendy Gilchrist, Odile De Roubin
Lea Pericoli, Sally Greer
Judith Dibar, Christine Truman
Maria Victoria Baldovinos Cibeira, Florence Guedy
Alena Palmeova West, Robin Tenney
Marie Pinterova, Evelyne Terras
Lita Liem, Betsy Nagelsen
Virginia Wade, Beatrix Klein
Miroslava Kozeluhova, Virginia Ruzici
Patricia Walkden, Maria Teresa Nasuelli
Linky Boshoff, Janet Haas
Helga Masthoff, Mariana Simionescu
Eva Szabo, Jackie Fayter
Martina Navratilova, Raquel Giscafre
Christina Sandberg, Heide Orth
Julie Heldman, Wendy Gilchrist
Gail Sherriff, Lea Pericoli
Olga Morozova, Judith Dibar
Katja Ebbinghaus, Maria Victoria Baldovinos Cibeira
Kazuko Sawamatsu, Alena Palmeova West
Marie Pinterova, Renata Tomanova
Chris Evert, Lita Liem
Virginia Wade, Miroslava Kozeluhova
Patricia Walkden, Linky Boshoff
Helga Masthoff, Eva Szabo
Martina Navratilova, Vlasta Kodesova
Julie Heldman, Christina Sandberg
Olga Morozova, Gail Sherriff
Kazuko Sawamatsu, Katja Ebbinghaus
Chris Evert, Marie Pinterova
Patricia Walkden, Virginia Wade
Martina Navratilova, Helga Masthoff
Olga Morozova, Julie Heldman
Chris Evert, Kazuko Sawamatsu
Martina Navratilova, Patricia Walkden
Chris Evert, Olga Morozova
Chris Evert, Martina Navratilova
Evonne Goolagong, Helen Kayser
Sue Barker, Joan Walker
Mimi Wikstedt, Patricia Coleman
Kazuko Sawamatsu, Wendy Turnbull
Peggy Michel, Sue Hole
Janet Young, Pam Whytcross
Ann Kiyomura Hayashi, Anneloes Schothorst
Pam Teeguarden, Gai Healey
Janet Newberry, Jenny Dimond
Vicki Lancaster Kerr, Lesley Turner
Helena Anliot, Chris Matison
Karen Krantzcke, Kaye Hallam
Helen Gourlay, Isabelle Larsson
Judy Tegart, Lindsey Beaven
Jan Lehane, Wendy Gilchrist
Julie Heldman, Jackie Fayter
Evonne Goolagong, Sue Barker
Kazuko Sawamatsu, Mimi Wikstedt
Peggy Michel, Janet Young
Pam Teeguarden, Ann Kiyomura Hayashi
Janet Newberry, Vicki Lancaster Kerr
Karen Krantzcke, Helena Anliot
Helen Gourlay, Judy Tegart
Julie Heldman, Jan Lehane
Evonne Goolagong, Kazuko Sawamatsu
Peggy Michel, Pam Teeguarden
Karen Krantzcke, Janet Newberry
Helen Gourlay, Julie Heldman
Evonne Goolagong, Peggy Michel
Karen Krantzcke, Helen Gourlay
Karen Krantzcke, Evonne Goolagong
Chris Evert, Sally Greer
Valerie Ziegenfuss, Janet Newberry
Elly Appel, Marita Redondo
Barbara Downs, Laurie Fleming
Kerry Reid, Isabel Fernandez De Soto
Laura Dupont, Betty Ann Grubb
Francoise Durr, Mima Jausovec
Pam Teeguarden, Katja Ebbinghaus
Lesley Hunt, Kerry Harris
Nancy Richey, Wendy Overton
Helen Gourlay, Kathy Kuykendall
Rosie Casals, Martina Navratilova
Karen Krantzcke, Marcie Louie
Kristien Shaw, Virginia Ruzici
Glynis Coles, Betty Stove
Billie Jean King, Robin Tenney
Chris Evert, Valerie Ziegenfuss
Barbara Downs, Elly Appel
Kerry Reid, Laura Dupont
Francoise Durr, Pam Teeguarden
Nancy Richey, Lesley Hunt
Rosie Casals, Helen Gourlay
Kristien Shaw, Karen Krantzcke
Billie Jean King, Glynis Coles
Chris Evert, Barbara Downs
Kerry Reid, Francoise Durr
Nancy Richey, Rosie Casals
Billie Jean King, Kristien Shaw
Chris Evert, Kerry Reid
Billie Jean King, Nancy Richey
Kerry Reid, Nancy Richey
Chris Evert, Billie Jean King
Billie Jean King, Kerry Harris
Laurie Fleming, Wendy Overton
Laura Dupont, Tory Ann Fretz
Kathy Kuykendall, Valerie Ziegenfuss
Rosie Casals, Elly Appel
Glynis Coles, Katja Ebbinghaus
Francoise Durr, Marcie Louie
Betty Stove, Kate Latham
Helen Gourlay, Ingrid Bentzer
Kristien Shaw, Karen Krantzcke
Peaches Bartkowicz, Virginia Ruzici
Sue Stap, Renata Tomanova
Mona Guerrant, Patti Hogan
Martina Navratilova, Pam Teeguarden
Sharon Walsh Pete, Isabel Fernandez De Soto
Kerry Reid, Patricia Reese
