Jenny Walker, Chris Matison
Susan Hagey, Lindsey Berman
Marita Redondo, Mary Delay
Mona Guerrant, Janet Hopps
Jane Stratton, Kathy May
Julie Anthony, Hedy Jackson
Susan Hagey, Marita Redondo
Mona Guerrant, Jane Stratton
Julie Anthony, Susan Hagey
Julie Anthony, Mona Guerrant
Evonne Goolagong, Jackie Fayter
Sue Barker, D Simmonds
Lindsey Beaven, Wendy Turnbull
Peggy Michel, Margareta Strandberg
Evonne Goolagong, Sue Barker
Peggy Michel, Lindsey Beaven
Evonne Goolagong, Peggy Michel
Marina Kroschina, Galina Baksheeva
Evonne Goolagong, Chris Oneil
Lesley Charles, Ellen Grindvold
Olga Morozova, Natasha Chmyreva
Olga Morozova, Lydia Zinkevich
Galina Baksheeva, Aleksandra Ivanova
Elena Granaturovna, Tiiu Kivi
Eugenia Birioukova, Marina Chuvirina
Olga Morozova, Galina Baksheeva
Elena Granaturovna, Eugenia Birioukova
Olga Morozova, Elena Granaturovna
Ann Kiyomura Hayashi, Laura Gilbert
Joy Schwikert, Randy Johnson
Anneloes Schothorst, Shari Barman
Barbara Goldman, Ginny Mahoney
Laurie Tenney, Patricia Shoolman
Cecilia Martinez, Penny Moor
Mary Mclean, Adrienne Straub
Mary Struthers, Wendy Appleby
Susie Mehmedbasich, Mariana Simionescu
Tam Oshaughnessy, Michele Golding
Betsy Butler, Carol Gagliano
Donna Ganz, Patricia Reese
Daryl Gralka, Sue Oertel
Mimi Wikstedt, Liz Worner
Sally Greer, Miroslava Kozeluhova
Renata Tomanova, Terry Holladay
Ann Kiyomura Hayashi, Connie Pearson
Anneloes Schothorst, Joy Schwikert
Barbara Goldman, Laurie Tenney
Cecilia Martinez, Mary Mclean
Susie Mehmedbasich, Mary Struthers
Tam Oshaughnessy, Betsy Butler
Anne Mette Sorensen, Naoko Sato
Jill Schwikert, Hana Hublerova
Janet Haas, Michele Gurdal
Gwynn Sammel, Judy Thompson
Patricia Bostrom, Kate Latham
Donna Ganz, Daryl Gralka
Sally Greer, Mimi Wikstedt
Ann Kiyomura Hayashi, Renata Tomanova
Anneloes Schothorst, Barbara Goldman
Cecilia Martinez, Susie Mehmedbasich
Tam Oshaughnessy, Anne Mette Sorensen
Janet Haas, Jill Schwikert
Patricia Bostrom, Gwynn Sammel
Sally Greer, Donna Ganz
Ann Kiyomura Hayashi, Anneloes Schothorst
Cecilia Martinez, Tam Oshaughnessy
Patricia Bostrom, Janet Haas
Sally Greer, Ann Kiyomura Hayashi
Cecilia Martinez, Patricia Bostrom
Sally Greer, Cecilia Martinez
Michele Gurdal, Sally Greer
Tine Zwaan, Mary Struthers
Kate Latham, Gwynn Sammel
Joy Schwikert, Hana Hublerova
Renata Tomanova, Michele Golding
Mariana Simionescu, Penny Moor
Anne Mette Sorensen, Laurie Tenney
Jill Schwikert, Nellemieke Brouwer
Susan Vinton, Naoko Sato
Daryl Gralka, Shari Barman
Mimi Wikstedt, Liz Worner
Janet Haas, Patricia Reese
Miroslava Kozeluhova, Connie Pearson
Mary Mclean, Judy Thompson
Anneloes Schothorst, Jenny Odom
Tine Zwaan, Michele Gurdal
Kate Latham, Joy Schwikert
Donna Ganz, Renata Tomanova
Mariana Simionescu, Anne Mette Sorensen
Susan Vinton, Jill Schwikert
Daryl Gralka, Mimi Wikstedt
Janet Haas, Miroslava Kozeluhova
Mary Mclean, Anneloes Schothorst
Kate Latham, Tine Zwaan
Mariana Simionescu, Donna Ganz
Susan Vinton, Daryl Gralka
Janet Haas, Mary Mclean
Kate Latham, Mariana Simionescu
Janet Haas, Susan Vinton
Kate Latham, Janet Haas
Olga Morozova, Rauza Islanova
Eugenia Birioukova, Marina Chuvirina
Elena Granaturovna, Galina Baksheeva
Marina Kroschina, Lydia Zinkevich
Olga Morozova, Eugenia Birioukova
Marina Kroschina, Elena Granaturovna
Olga Morozova, Marina Kroschina
Helga Schultze, Elena Granaturovna
Marina Chuvirina, Odile De Roubin
Marie Pinterova, Edda Buding
Florence Guedy, Lea Pericoli
Helga Schultze, Marina Chuvirina
Marie Pinterova, Florence Guedy
Marie Pinterova, Helga Schultze
Donna Ganz, Monica Coste
Tine Zwaan, Anneloes Schothorst
Carol Ford, Sue Oertel
Patricia Reese, Anne Mette Sorensen
Wendy Turnbull, Naoko Sato
Rana Epstein, Liz Worner
Mary Mclean, Adrienne Straub
Susan Vinton, Michele Golding
Kate Latham, Mary Struthers
Bunny Smith, Perry Hays
Mariana Simionescu, Birgitta Lindstrom
Roberta Stark, Madeleine Pegel
Betsy Nagelsen, Veronica Burton
Hana Hublerova, Daryl Gralka
Mimi Wikstedt, Beth King
Michele Gurdal, Janet Haas
Maria Eugenia Guzman, Ching Ling Chang
Lynn Epstein, Gwynn Sammel
Renata Tomanova, Connie Pearson
Donna Ganz, Laura Gilbert
Tine Zwaan, Carol Ford
Patricia Reese, Miroslava Kozeluhova
Wendy Turnbull, R Epstein
Mary Mclean, Susan Vinton
Kate Latham, Bunny Smith
Mariana Simionescu, Roberta Stark
Betsy Nagelsen, Hana Hublerova
Michele Gurdal, Mimi Wikstedt
Nellemieke Brouwer, Penny Moor
Shari Barman, Judy Thompson
Laurie Tenney, Carrie Fleming
Robin Tenney, Andrea Larson
Lynn Epstein, Maria Eugenia Guzman
Donna Ganz, Renata Tomanova
Patricia Reese, Tine Zwaan
Wendy Turnbull, Mary Mclean
Kate Latham, Mariana Simionescu
Betsy Nagelsen, Michele Gurdal
Nellemieke Brouwer, Shari Barman
Robin Tenney, Laurie Tenney
Donna Ganz, Lynn Epstein
Patricia Reese, Wendy Turnbull
Betsy Nagelsen, Kate Latham
Robin Tenney, Nellemieke Brouwer
Donna Ganz, Patricia Reese
Betsy Nagelsen, Robin Tenney
Betsy Nagelsen, Donna Ganz
Ingrid Bentzer, Margareta Strandberg
Daryl Gralka, Anne Mette Sorensen
Patricia Reese, Anneloes Schothorst
Tine Zwaan, Michele Gurdal
Betsy Butler, Michele Golding
Connie Pearson, Laura Gilbert
Kay Mcdaniel, Roberta Stark
Helle Sparre, Ching Ling Chang
Wendy Gilchrist, Rana Epstein
Penny Moor, Carol Ford
Mary Ann Eisel, Donna Ganz
Robin Tenney, Miroslava Kozeluhova
Susie Mehmedbasich, Mary Struthers
Carol Baily, Anne Grete Qvist
Mimi Wikstedt, Naoko Sato
Susan Minford, Jenny Helliar
Madeleine Pegel, Sue Oertel
Wendy Turnbull, Shari Barman
Laurie Tenney, Maria Eugenia Guzman
Terry Holladay, Andrea Larson
Mary Mclean, Pamela Austin
Veronica Burton, Renata Tomanova
Birgitta Lindstrom, Daryl Gralka
Tine Zwaan, Betsy Butler
Kay Mcdaniel, Connie Pearson
Wendy Gilchrist, Helle Sparre
Mary Ann Eisel, Penny Moor
Robin Tenney, Susie Mehmedbasich
Mimi Wikstedt, Susan Minford
Madeleine Pegel, Susan Minford
Laurie Tenney, Wendy Turnbull
Patricia Reese, Randy Johnson
Monica Rho, Bunny Smith
Hana Hublerova, Gwynn Sammel
Nellemieke Brouwer, Patti Hogan
Terry Holladay, Mary Mclean
Veronica Burton, Birgitta Lindstrom
Tine Zwaan, Kay Mcdaniel
Mary Ann Eisel, Wendy Gilchrist
Robin Tenney, Mimi Wikstedt
Laurie Tenney, Madeleine Pegel
Patricia Reese, Monica Rho
Hana Hublerova, Nellemieke Brouwer
Veronica Burton, Terry Holladay
Mary Ann Eisel, Tine Zwaan
Laurie Tenney, Robin Tenney
Patricia Reese, Hana Hublerova
Mary Ann Eisel, Veronica Burton
Patricia Reese, Laurie Tenney
Mary Ann Eisel, Patricia Reese
Miroslava Kozeluhova, Mimi Wikstedt
Laurie Tenney, Susie Mehmedbasich
Ching Ling Chang, Wendy Turnbull
Madeleine Pegel, Gwenda Tanner
Naoko Sato, Hana Hublerova
Mary Struthers, Wendy Appleby
Susan Minford, Pamela Austin
Anneloes Schothorst, Evelyn Clark
Veronica Burton, Adrienne Straub
Renata Tomanova, Tine Zwaan
Carol Baily, Gwynn Sammel
Penny Moor, Betsy Butler
Birgitta Lindstrom, Maria Eugenia Guzman
Anne Mette Sorensen, Patti Hogan
Randy Johnson, Jenny Helliar
Zenda Liess, Shari Barman
Nellemieke Brouwer, Connie Pearson
Tam Oshaughnessy, Carol Ford
Sandy Stap, Betsy Nagelsen
Judy Thompson, Anne Grete Qvist
Helle Sparre, Mary Mclean
Miroslava Kozeluhova, Wendy Gilchrist
Laurie Tenney, Ching Ling Chang
Madeleine Pegel, Naoko Sato
Susan Minford, Mary Struthers
Veronica Burton, Anneloes Schothorst
Renata Tomanova, Carol Baily
Birgitta Lindstrom, Penny Moor
Randy Johnson, Anne Mette Sorensen
Zenda Liess, Nellemieke Brouwer
Liz Worner, Tam Oshaughnessy
Michele Gurdal, Daryl Gralka
Monica Rho, Sue Oertel
Terry Holladay, Roberta Stark
Sandy Stap, Judy Thompson
Miroslava Kozeluhova, Helle Sparre
Laurie Tenney, Madeleine Pegel
Veronica Burton, Susan Minford
Renata Tomanova, Birgitta Lindstrom
Zenda Liess, Randy Johnson
Michele Gurdal, Liz Worner
Terry Holladay, Monica Rho
Miroslava Kozeluhova, Sandy Stap
Laurie Tenney, Veronica Burton
Renata Tomanova, Zenda Liess
Michele Gurdal, Terry Holladay
Miroslava Kozeluhova, Laurie Tenney
Renata Tomanova, Michele Gurdal
Renata Tomanova, Miroslava Kozeluhova
Helga Schultze, Odile De Roubin
Marina Chuvirina, Antonella Rosa
Florence Guedy, Elena Granaturovna
Marie Pinterova, Rosalba Vido
Marina Chuvirina, Helga Schultze
Marie Pinterova, Florence Guedy
Marina Chuvirina, Marie Pinterova
Gina Diaz Ponce, Aleida Spex
Renata Tomanova, Susie Mehmedbasich
Shari Barman, Naoko Sato
Anne Mette Sorensen, Judy Thompson
Liz Worner, Tam Oshaughnessy
Birgitta Lindstrom, Ann Dunbar
Patti Hogan, Peggy Michel
Jenny Helliar, Wendy Appleby
Roberta Stark, Michele Gurdal
Miroslava Kozeluhova, Mary Struthers
Wendy Turnbull, Penny Moor
Veronika Birioukova, Wendy Gilchrist
Mary Mclean, Carol Baily
Mimi Wikstedt, Anne Grete Qvist
Daryl Gralka, Norma Moore
Gwynn Sammel, Sue Oertel
Terry Holladay, Susan Minford
Renata Tomanova, Shari Barman
Anne Mette Sorensen, Liz Worner
Patti Hogan, Birgitta Lindstrom
Roberta Stark, Jenny Helliar
Wendy Turnbull, Miroslava Kozeluhova
Veronika Birioukova, Mary Mclean
Mimi Wikstedt, Daryl Gralka
Terry Holladay, Gwynn Sammel
Renata Tomanova, Anne Mette Sorensen
Patti Hogan, Roberta Stark
Veronika Birioukova, Wendy Turnbull
Terry Holladay, Mimi Wikstedt
Renata Tomanova, Patti Hogan
Veronika Birioukova, Terry Holladay
Renata Tomanova, Eugenia Birioukova
Ana Maria Estalella Manso, Susan Battersby
Carmen Perea Alcala, Maria Victoria Baldovinos Cibeira
Carmen Perea Alcala, Ana Maria Estalella Manso
Wendy Gilchrist, Judy Thompson
Naoko Sato, Connie Pearson
Mary Struthers, Wendy Appleby
Dundee Davis, Monica Rho
Sally Greer, Gwynn Sammel
Sue Stap, Penny Moor
Peggy Michel, Anne Grete Qvist
Susie Mehmedbasich, Madeleine Pegel
Liz Worner, Carol Ford
Daryl Gralka, Jan Devereaux
Virginia Ruzici, Shari Barman
Helle Sparre, Carol Baily
Susan Minford, Mimi Wikstedt
Cecilia Martinez, Maria Ayala
Wendy Gilchrist, Hana Hublerova
Mary Struthers, Naoko Sato
Sally Greer, Dundee Davis
Sue Stap, Peggy Michel
Susie Mehmedbasich, Liz Worner
Daryl Gralka, Joyce Tabor
Katja Ebbinghaus, Michele Golding
Zenda Liess, Roberta Stark
Wendy Turnbull, Sue Oertel
Glynis Coles, Tam Oshaughnessy
Virginia Ruzici, Helle Sparre
Ilana Kloss, Susan Minford
Cecilia Martinez, Wendy Gilchrist
Mary Struthers, Sally Greer
Sue Stap, Susie Mehmedbasich
Katja Ebbinghaus, Daryl Gralka
Zenda Liess, Wendy Turnbull
Glynis Coles, Jenny Helliar
Ilana Kloss, Virginia Ruzici
Cecilia Martinez, Mary Struthers
Sue Stap, Katja Ebbinghaus
Zenda Liess, Glynis Coles
Ilana Kloss, Cecilia Martinez
Sue Stap, Zenda Liess
Sue Stap, Ilana Kloss
Gail Sherriff, Monique Van Haver
Odile De Roubin, Gail Sherriff
Madeleine Pegel, Helle Sparre
Karen Dawson, Michele Golding
Betty Ann Grubb, Terry Holladay
Patricia Bostrom, Linda Lewis
Susie Mehmedbasich, Daryl Gralka
Kate Latham, Joy Schwikert
Carol Ford, Laura Gilbert
Janet Young, Anne Mette Sorensen
Wendy Turnbull, Monica Rho
Kora Schediwy, Carol Baily
Madeleine Pegel, Gail Elliott
Betty Ann Grubb, Karen Dawson
Patricia Bostrom, Ching Ling Chang
Susie Mehmedbasich, Penny Moor
Mary Struthers, Wendy Gilchrist
Jill Schwikert, Wendy Appleby
Peggy Michel, Mimi Wikstedt
Naoko Sato, Anne Grete Qvist
Kazuko Sawamatsu, Pamela Austin
Tam Oshaughnessy, Marita Redondo
Kate Latham, Carol Ford
Janet Young, Judy Thompson
Wendy Turnbull, Kora Schediwy
Betty Ann Grubb, Madeleine Pegel
Patricia Bostrom, Susie Mehmedbasich
Mary Struthers, Jill Schwikert
Naoko Sato, Peggy Michel
Kazuko Sawamatsu, Tam Oshaughnessy
Kate Latham, Janet Young
Betty Ann Grubb, Wendy Turnbull
Patricia Bostrom, Mary Struthers
Kazuko Sawamatsu, Naoko Sato
Kate Latham, Betty Ann Grubb
Kazuko Sawamatsu, Patricia Bostrom
Kazuko Sawamatsu, Kate Latham
Gail Sherriff, Daniela Marzano
Maria Teresa Nasuelli, Maylis Burel
Eva Szabo, Nicole Hesse Cazaux
Florence Guedy, Marianne Kindler
M Janssens, Lucia Bassi
Nicole Bimes, Daniele Bouteleux
Gail Sherriff, Maria Teresa Nasuelli
Eva Szabo, Evelyne Terras
Monique Van Haver, Erzsebet Polgar
Lea Pericoli, Florence Guedy
Rosalba Vido, M Janssens
Odile De Roubin,  Sielman
Monique Salfati, Johanne Venturino
Heide Orth, Nicole Bimes
Gail Sherriff, Eva Szabo
Lea Pericoli, Monique Van Haver
Rosalba Vido, Odile De Roubin
Heide Orth, Monique Salfati
Gail Sherriff, Lea Pericoli
Heide Orth, Rosalba Vido
Gail Sherriff, Heide Orth
Mimi Wikstedt, Sue Oertel
Nancy Ornstein, Mary Struthers
Gwynn Sammel, Carol Ford
Ching Ling Chang, Anne Grete Qvist
Judy Thompson, Pamela Austin
Kate Latham, Wendy Gilchrist
Ann Kiyomura Hayashi, Naoko Sato
Monica Rho,  Powell
Penny Moor, Wendy Appleby
Helle Sparre, Shari Barman
Joy Schwikert, Isabella Ortiz
Bee Kilgore, Carol Baily
Kazuko Sawamatsu, Jenny Helliar
Stephanie Tolleson, Laura Gilbert
Kora Schediwy, Susie Mehmedbasich
Jill Schwikert, Madeleine Pegel
Betsy Nagelsen, Lindsay Blachford
Nancy Ornstein, Mimi Wikstedt
Ching Ling Chang, Gwynn Sammel
Kate Latham, Judy Thompson
Ann Kiyomura Hayashi, Monica Rho
Helle Sparre, Penny Moor
Joy Schwikert, Bee Kilgore
Linda Mottram, Janet Young
Patricia Bostrom, Tam Oshaughnessy
Sue Barker, Anne Mette Sorensen
Dianne Fromholtz, Peggy Michel
Betty Ann Grubb, Daryl Gralka
Stephanie Tolleson, Kazuko Sawamatsu
Kora Schediwy, Jill Schwikert
Betsy Nagelsen, Nancy Ornstein
Kate Latham, Ching Ling Chang
Joy Schwikert, Linda Mottram
Patricia Bostrom, Sue Barker
Dianne Fromholtz, Betty Ann Grubb
Stephanie Tolleson, Kora Schediwy
Kate Latham, Betsy Nagelsen
Joy Schwikert, Helle Sparre
Dianne Fromholtz, Patricia Bostrom
Kate Latham, Stephanie Tolleson
Dianne Fromholtz, Joy Schwikert
Dianne Fromholtz, Kate Latham
Eva Szabo, Michele Gurdal
Gail Sherriff, Alena Palmeova West
Lea Pericoli, Daniela Marzano
Heide Orth, Nicole Bimes
Gail Sherriff, Eva Szabo
Heide Orth, Lea Pericoli
Gail Sherriff, Heide Orth
Lindsey Beaven, Jill Cottrell
Corinne Molesworth, Annette Coe
Lindsey Beaven, Corinne Molesworth
Ann Jones, Janet Wheeler
Anne Lloyd, L Robinson
Ann Jones, Anne Lloyd
Judy Chaloner, Norma Eastburn
Marina Kroschina, Elena Granaturovna
Y Komarova, Tiiu Kivi
Mary Mclean, Anne Grete Qvist
Lindsay Blachford, Wendy Appleby
Kora Schediwy, Shari Barman
Dianne Fromholtz, Laura Gilbert
Lesley Turner, Carol Ford
Nancy Ornstein, Helle Sparre
Joy Schwikert, Robin Tenney
Laura Rossouw, Monica Rho
Ching Ling Chang, Gwynn Sammel
Sue Barker, Sue Oertel
Linda Mottram, Judy Thompson
Connie Pearson, Madeleine Pegel
Mary Struthers, Mary Mclean
Lindsay Blachford, Kora Schediwy
Dianne Fromholtz, Lesley Turner
Nancy Ornstein, Susan Minford
Anne Mette Sorensen, Mimi Wikstedt
Jill Schwikert, Carol Baily
Janet Young, Jenny Helliar
Daryl Gralka, Penny Moor
Peggy Michel, Pamela Austin
Laurie Tenney, Naoko Sato
Laura Rossouw, Joy Schwikert
Sue Barker, Ching Ling Chang
Linda Mottram, Connie Pearson
Mary Struthers, Lindsay Blachford
Dianne Fromholtz, Nancy Ornstein
Jill Schwikert, Anne Mette Sorensen
Janet Young, Daryl Gralka
Peggy Michel, Laurie Tenney
Laura Rossouw, Sue Barker
Mary Struthers, Linda Mottram
Dianne Fromholtz, Jill Schwikert
Janet Young, Peggy Michel
Mary Struthers, Laura Rossouw
Dianne Fromholtz, Janet Young
Dianne Fromholtz, Mary Struthers
Judy Chaloner, Diane Eastburn
Christine Truman, Linda Geeves
Veronica Burton, Jill Griffiths
Lesley Charles, Judy Congdon
Corinne Molesworth, Wendy Slaughter
Sue Mappin, Susan Battersby
Belinda Thompson, J Ferrier
Lindsey Beaven, Rosemary Pearson
Paulina Peisachov, Huguette Barat
Veronica Burton, Christine Truman
Corinne Molesworth, Lesley Charles
Sue Mappin, Belinda Thompson
Paulina Peisachov, Lindsey Beaven
Veronica Burton, Corinne Molesworth
Paulina Peisachov, Sue Mappin
Veronica Burton, Paulina Peisachov
M Janssens, Monique Salfati
Florenta Mihai, Karin Seltenreich
Johanne Venturino, M Pettenaro
Judith Dibar, Jutta Wolff
Florenta Mihai, M Janssens
Judith Dibar, Johanne Venturino
Judith Dibar, Florenta Mihai
Marina Kroschina, Elena Granaturovna
Kora Schediwy, Laura Rossouw
Anne Mette Sorensen, Monica Rho
Mimi Wikstedt, Rosemary Spillane
Tam Oshaughnessy, Janet Haas
Betsy Nagelsen, Ching Ling Chang
Mary Struthers, Gwynn Sammel
Daryl Gralka, Helle Sparre
Sue Barker, Madeleine Pegel
Nancy Ornstein, Linda Mottram
Wendy Gilchrist, Anne Grete Qvist
Jenny Helliar, Liz Worner
Anne Mette Sorensen, Kora Schediwy
Mimi Wikstedt, Tam Oshaughnessy
Ann Dielen, Penny Moor
Carol Ford, Shari Barman
Sandy Stap, Sue Oertel
Naoko Sato, Jill Schwikert
Wendy Appleby, Carol Baily
Roberta Stark, Lindsay Blachford
Cecilia Martinez, Peggy Michel
Betsy Nagelsen, Mary Struthers
Sue Barker, Daryl Gralka
Wendy Gilchrist, Nancy Ornstein
Jenny Helliar, Mimi Wikstedt
Anne Mette Sorensen, Ann Dielen
Sandy Stap, Carol Ford
Wendy Appleby, Naoko Sato
Cecilia Martinez, Roberta Stark
Betsy Nagelsen, Sue Barker
Jenny Helliar, Wendy Gilchrist
Sandy Stap, Anne Mette Sorensen
Cecilia Martinez, Wendy Appleby
Betsy Nagelsen, Jenny Helliar
Cecilia Martinez, Sandy Stap
Betsy Nagelsen, Cecilia Martinez
Natasha Chmyreva, O Vorsina
Yvona Brzakova, Irina Shevchenko
Natasha Chmyreva, Yvona Brzakova
Jane Stratton, Dodo Cheney
Susan Hagey, Bee Kilgore
Kathy May, Sue Ince
Maricaye Christenson, Sue Boyle
Jane Stratton, Lea Antonoplis
Susan Hagey, Jan Hasse
Kathy May, Maricaye Christenson
Susan Hagey, Jane Stratton
Kathy May, Susan Hagey
Lesley Charles, Jane Charlton
L Cooper, Jo Griffiths
Sheila Page, Dianne Evers
Susan Minford, Sue Imhoff
Karin Boshoff, R J Twinn
Patti Hogan, T Eaton
Susan Battersby, Mrs L Love
Annette Coe, Stephanie Meachen
Rosemary Pearson, S Preece
Belinda Thompson, Ros Lewis
Veronica Burton, Frances Candy
Sue Mappin, S Colman
Lesley Charles, L Cooper
Sheila Page, Ruth Allan
Susan Minford, Karin Boshoff
Patti Hogan, Susan Battersby
Annette Coe, Rosemary Pearson
Belinda Thompson, Pauline Elliott
Lesley Charles, Sheila Page
Sue Mappin, Clare Colman
Mandy Morgan, Susan Minford
Corinne Molesworth, Joan Wooley
Paulina Peisachov, H Jenkins
Patti Hogan, Annette Coe
Lindsey Beaven, Belinda Thompson
Sue Mappin, Veronica Burton
Lesley Charles, Mandy Morgan
Lindsey Beaven, Patti Hogan
Corinne Molesworth, Paulina Peisachov
Lesley Charles, Sue Mappin
Lindsey Beaven, Corinne Molesworth
Lesley Charles, Lindsey Beaven
Nathalie Fuchs, Ros Lewis
Jenny Dimond, Patricia Rime
Nathalie Fuchs, Ruth Allan
Gail Sherriff, Jackie Fayter
Veronica Burton, Sheila Page
Sue Mappin, Wendy Slaughter
Nathalie Fuchs, Patti Hogan
Annette Coe, Rosemary Pearson
Belinda Thompson, Patricia Coleman
Lesley Charles, Judy Chaloner
Gail Sherriff, Norma Eastburn
Sue Mappin, Veronica Burton
Nathalie Fuchs, Jenny Dimond
Annette Coe, Belinda Thompson
Gail Sherriff, Lesley Charles
Sue Mappin, Nathalie Fuchs
Gail Sherriff, Annette Coe
Gail Sherriff, Sue Mappin
Jackie Fayter, Binnie Blackburn
Clare Colman, Sue Imhoff
Corinne Molesworth, Norma Eastburn
Jenny Dimond, Linda Geeves
Helle Sparre, Liz Worner
Pam Whytcross, Patricia Coleman
Shirley Bloomer, Paulina Peisachov
Jackie Fayter, Clare Colman
Corinne Molesworth, Jenny Dimond
Helle Sparre, Pam Whytcross
Shirley Bloomer, Ruth Allan
Jackie Fayter, Corinne Molesworth
Helle Sparre, Shirley Bloomer
Jackie Fayter, Helle Sparre
Odile De Roubin, Christina Sandberg
Francesca Gordigiani, Kayoko Fukuoka
Veronica Burton, Helena Anliot
Sue Barker, Nathalie Fuchs
Michele Gurdal, Gail Sherriff
Odile De Roubin, Francesca Gordigiani
Sue Barker, Veronica Burton
Monique Salfati, Carmen Perea Alcala
Michele Gurdal, Hideko Goto
Sue Barker, Odile De Roubin
Monique Salfati, Michele Gurdal
Monique Salfati, Sue Barker
Mareen Louie Harper, Arlene Cohen
Chris Corcoran, Sue Beatty
Susie Mehmedbasich, Marcie Louie
Susan Anawalt, Lisa Nard
Martha Downing, Linda Mitchell
Kate Latham, Vicky Kiyomura
Mareen Louie Harper, Chris Corcoran
Susie Mehmedbasich, Nancy Zaro
Susan Anawalt, Cathie Gagel
Debbie Cator, Rhoda Herron
Marcy Okeefe, Martha Downing
Brenda Garcia, Lona Swanson
Denise Carter, Jan Brogan
Kate Latham, Mareen Louie Harper
Susie Mehmedbasich, Susan Anawalt
Marcy Okeefe, Debbie Cator
Denise Carter, Brenda Garcia
Kate Latham, Susie Mehmedbasich
Marcy Okeefe, Denise Carter
Kate Latham, Marcy Okeefe
Lindsey Beaven, Heidi Reetmeyer
Judith Dibar, Birgit Portscheller
Alena Palmeova West, Dagmar Stoltenberg
Virginia Ruzici, Almut Sturm
Edith Winkens,  Hiebler
Mariana Simionescu, Marijke Jansen
Heidi Eisterlehner, Kora Schediwy
Judith Dibar, Lindsey Beaven
Alena Palmeova West, Susanne Korpas
Virginia Ruzici, Edith Winkens
Mariana Simionescu, Heidi Eisterlehner
Alena Palmeova West, Judith Dibar
Virginia Ruzici, Mariana Simionescu
Virginia Ruzici, Alena Palmeova West
Carrie Meyer, Lindsay Blachford
Clare Colman, Penny Moor
Carrie Meyer, Ruth Allan
Jenny Walker, Jenny Dimond
Chris Oneil, Sue Mappin
Patti Hogan, Mandy Morgan
Corinne Molesworth, Rowena Sanders
Lesley Charles, Jenny Helliar
Clare Colman, Linky Boshoff
Jackie Fayter, Gwynn Sammel
Carrie Meyer, Jenny Walker
Chris Oneil, Patti Hogan
Jackie Fayter, Clare Colman
Corinne Molesworth, Lesley Charles
Carrie Meyer, Chris Oneil
Jackie Fayter, Corinne Molesworth
Carrie Meyer, Jackie Fayter
Robin Kahn, Jean Nachand
Vicki Jensen, Marilyn Lieberman
Susan Hagey, Tina Mochizuki
Karen Dawson, Norma De Veal
Lindsay Morse, Evelyn Houseman
Lea Antonoplis, Robin Kahn
Barbara Hallquist, Diane Morrison
Maricaye Christenson, Patricia Cody
Bunny Bruning, Vicki Jensen
Kathy May, Jan Hasse
Susan Hagey, Karen Dawson
Lindsay Morse, Lea Antonoplis
Barbara Hallquist, Maricaye Christenson
Kathy May, Bunny Bruning
Lindsay Morse, Susan Hagey
Kathy May, Barbara Hallquist
Kathy May, Lindsay Morse
Joanne Russell, Sandy Stap
Mary Hamm, Susan Hagey
Joanne Russell, Rayni Fox
Mary Hamm, Linda Thomas
Joanne Russell, Mary Hamm
Paulina Peisachov, Clare Colman
Judy Congdon, Helle Sparre
Sue Mappin, Jill Griffiths
Rowena Sanders, Daryl Gralka
Patti Hogan, Greer Stevens
Lesley Charles, Joy Schwikert
Paulina Peisachov, Jenny Walker
Carrie Meyer, Liz Worner
Sue Barker, Annette Coe
Kate Latham, Judy Congdon
Sue Mappin, Rowena Sanders
Chris Oneil, Mandy Morgan
Patti Hogan, Belinda Thompson
Lesley Charles, Paulina Peisachov
Sue Barker, Carrie Meyer
Sue Mappin, Kate Latham
Patti Hogan, Chris Oneil
Sue Barker, Lesley Charles
Sue Mappin, Patti Hogan
Sue Barker, Sue Mappin
Marjorie Love, Patricia Coleman
Jenny Dimond, Ruth Allan
Corinne Molesworth, Sheila Moodie
Dianne Fromholtz, Marjorie Love
Jenny Dimond, Corinne Molesworth
Dianne Fromholtz, Jenny Dimond
Jenny Helliar, Susan Battersby
Beverley Vercoe, Jenny Helliar
Frederique Thibault, Anne Marie Larue
E Dufresne, Patricia Rime
Elvira Weisenberger, Jacqueline Le Boubennec
Huguette Barat, Christine Gimmig
Frederique Thibault, Helena Anliot
Antonella Rosa, E Dufresne
Elvira Weisenberger, Rosie Reyes
Evelyne Terras, Huguette Barat
Frederique Thibault, Antonella Rosa
Elvira Weisenberger, Evelyne Terras
Elvira Weisenberger, Frederique Thibault
Helga Schultze,  Hoffmeiner
Iris Riedel Kuhn,  Jones
Almut Sturm,  Buerkle
Kora Schediwy, Heidi Reetmeyer
Heidi Eisterlehner, Inge Kubina
Raquel Giscafre,  Gerlach
Helga Schultze, Iris Riedel Kuhn
Almut Sturm, Marion Hofer
Kora Schediwy, Heidi Eisterlehner
Raquel Giscafre, Birgit Portscheller
Helga Schultze, Almut Sturm
Raquel Giscafre, Kora Schediwy
Helga Schultze, Raquel Giscafre
Kate Latham, S Pearce
Stephanie Bardsley, J Farrar
Susan Minford, G Maxwell
Marjorie Blackwood, Barbara Wadsworth
Lesley Charles, S Preece
Sally Hudson Beck, Sue Imhoff
Lesley Charles, Belinda Thompson
Greer Stevens, Patricia Coleman
Jenny Helliar, Marjorie Blackwood
Sue Mappin, Sue Hastings
Jenny Dimond, Rita Bentley
Susan Minford, Sally Hudson Beck
Patti Hogan, Susan Das
Kate Latham, Stephanie Bardsley
