Iva Budarova, Neige Dias
Zina Garrison, Stephanie Rehe
Natalia Zvereva, Laura Golarsa
Louise Field, Carol Christian
Melissa Gurney, Sabine Krein Auer
Noelle Van Lottum, Celine Cohen
Barbara Paulus, Clare Wood
Ann Devries, Eva Krapl
Hellas Ter Riet, Beth Herr
Martina Navratilova, Patricia Medrado
Steffi Graf, Ronni Reis
Susan Sloane Lundy, Eva Pfaff
Jenny Byrne, Dianne Van Rensburg
Nathalie Tauziat, Luciana Corsato Owsianka
Lori Mcneil, Christiane Jolissaint
Conchita Martinez, Tine Scheuer Larsen
Radomira Zrubakova, Patricia Tarabini
Bettina Fulco, Hana Mandlikova
Gabriela Sabatini, Karen Schimper
Masako Yanagi, Mareen Louie Harper
Brenda Schultz Mccarthy, Mariana Perez Roldan
Sandra Cecchini, Jana Pospisilova
Maria Strandlund Tomsvik, Raffaella Reggi Concato
Nicole Jagerman, Julie Halard Decugis
Helen Kelesi, Andrea Holikova
Manuela Maleeva Fragniere, Linda Ferrando
Claudia Kohde Kilsch, Federica Bonsignori
Nicole Bradtke, Emmanuelle Derly
Isabelle Demongeot, Wiltrud Probst
Sylvia Hanika, Karine Quentrec
Catherine Tanvier, Hester Witvoet
Elna Reinach, Jo Durie
Arantxa Sanchez Vicario, Silke Meier
Chris Evert, Barbara Romano
Helena Sukova, Sabine Appelmans
Mercedes Paz, Donna Faber
Michelle Torres, Laura Garrone
Zina Garrison, Iva Budarova
Natalia Zvereva, Louise Field
Melissa Gurney, Noelle Van Lottum
Barbara Paulus, Ann Devries
Martina Navratilova, Hellas Ter Riet
Steffi Graf, Susan Sloane Lundy
Nathalie Tauziat, Jenny Byrne
Conchita Martinez, Lori Mcneil
Bettina Fulco, Radomira Zrubakova
Gabriela Sabatini, Masako Yanagi
Brenda Schultz Mccarthy, Sandra Cecchini
Nicole Jagerman, Maria Strandlund Tomsvik
Helen Kelesi, Manuela Maleeva Fragniere
Nicole Bradtke, Claudia Kohde Kilsch
Sylvia Hanika, Isabelle Demongeot
Catherine Tanvier, Elna Reinach
Arantxa Sanchez Vicario, Chris Evert
Helena Sukova, Mercedes Paz
Zina Garrison, Michelle Torres
Natalia Zvereva, Melissa Gurney
Martina Navratilova, Barbara Paulus
Steffi Graf, Nathalie Tauziat
Bettina Fulco, Conchita Martinez
Gabriela Sabatini, Brenda Schultz Mccarthy
Helen Kelesi, Nicole Jagerman
Nicole Bradtke, Sylvia Hanika
Arantxa Sanchez Vicario, Catherine Tanvier
Helena Sukova, Zina Garrison
Natalia Zvereva, Martina Navratilova
Steffi Graf, Bettina Fulco
Gabriela Sabatini, Helen Kelesi
Nicole Bradtke, Arantxa Sanchez Vicario
Natalia Zvereva, Helena Sukova
Steffi Graf, Gabriela Sabatini
Natalia Zvereva, Nicole Bradtke
Steffi Graf, Natalia Zvereva
Steffi Graf, Hu Na
Karine Quentrec, Julie Halard Decugis
Sarah Loosemore, Mareen Louie Harper
Terry Phelps, Wendy Turnbull
Iwona Kuczynska, Betsy Nagelsen
Louise Field, Eva Pfaff
Leila Meskhi, Sandy Collins
Mary Joe Fernandez, Nicole Jagerman
Hana Mandlikova, Laura Garrone
Ann Henricksson, Beth Herr
Manon Bollegraf, Barbara Romano
Anne Minter, Andrea Holikova
Laura Golarsa, Judith Wiesner
Robin White, Clare Wood
Nathalie Herreman, Sharon Walsh Pete
Pascale Paradis Mangon, Manuela Maleeva Fragniere
Pam Shriver, Dianne Van Rensburg
Svetlana Cherneva, Jill Hetherington
Lisa Oneill, Claudia Porwik
Stephanie Rehe, Catherine Suire
Silke Meier, Monique Javer
Belinda Cordwell, Elise Burgin
Isabel Cueto, Lisa Gould
Katerina Maleeva, Anne Meredith
Zina Garrison, Wendy White
Dianne Fromholtz, Federica Bonsignori
Gigi Fernandez, Brenda Schultz Mccarthy
Elizabeth Minter, Amy Frazier
Catherine Tanvier, Patricia Medrado
Melissa Gurney, Amanda Grunfeld
Radomira Zrubakova, Heather Ludloff
Gabriela Sabatini, Carling Bassett Seguso
Helena Sukova, Isabelle Demongeot
Jana Novotna, Tine Scheuer Larsen
Etsuko Inoue, Wiltrud Probst
Sara Gomer, Penny Barg
Natalia Egorova, Eva Krapl
Barbara Potter, Laura Lapi
Jo Anne Faull, Maria Lindstrom
Iva Budarova, Shaun Stafford
Sylvia Hanika, Halle Cioffi
Hester Witvoet, Michelle Jaggard Lai
Katrina Adams, Valda Lake
Nathalie Tauziat, Ann Devries
Kumiko Okamoto, Arantxa Sanchez Vicario
Akiko Kijimuta, Gisele Miro
Christina Singer, Sandra Wasserman
Chris Evert, Alexia Dechaume Balleret
Natalia Zvereva, Ronni Reis
Patty Fendick, Camille Benjamin
Christiane Jolissaint, Lise Gregory
Elna Reinach, Catarina Lindqvist Ryan
Jo Durie, Marianne Werdel Witmeyer
Rosalyn Fairbank, Mary Lou Piatek
Susan Sloane Lundy, Teresa Edgar
Lori Mcneil, Nicole Bradtke
Larisa Savchenko, Jenny Byrne
Masako Yanagi, Barbara Gerken
Adriana Villagran Reami, Linda Ferrando
Julie Salmon, Liz Smylie
Gretchen Magers, Helen Kelesi
Karen Schimper, Karen Hunter
Elly Hakami, Kathy Horvath
Martina Navratilova, Sabrina Goles
Steffi Graf, Karine Quentrec
Terry Phelps, Sarah Loosemore
Iwona Kuczynska, Louise Field
Mary Joe Fernandez, Leila Meskhi
Hana Mandlikova, Ann Henricksson
Anne Minter, Manon Bollegraf
Robin White, Laura Golarsa
Pascale Paradis Mangon, Nathalie Herreman
Pam Shriver, Svetlana Cherneva
Stephanie Rehe, Lisa Oneill
Belinda Cordwell, Silke Meier
Katerina Maleeva, Isabel Cueto
Zina Garrison, Dianne Fromholtz
Elizabeth Minter, Gigi Fernandez
Catherine Tanvier, Melissa Gurney
Gabriela Sabatini, Radomira Zrubakova
Helena Sukova, Jana Novotna
Etsuko Inoue, Sara Gomer
Barbara Potter, Natalia Egorova
Jo Anne Faull, Iva Budarova
Sylvia Hanika, Hester Witvoet
Katrina Adams, Nathalie Tauziat
Akiko Kijimuta, Kumiko Okamoto
Chris Evert, Christina Singer
Natalia Zvereva, Patty Fendick
Elna Reinach, Christiane Jolissaint
Rosalyn Fairbank, Jo Durie
Lori Mcneil, Susan Sloane Lundy
Larisa Savchenko, Masako Yanagi
Julie Salmon, Adriana Villagran Reami
Karen Schimper, Gretchen Magers
Martina Navratilova, Elly Hakami
Steffi Graf, Terry Phelps
Mary Joe Fernandez, Iwona Kuczynska
Anne Minter, Hana Mandlikova
Pascale Paradis Mangon, Robin White
Pam Shriver, Stephanie Rehe
Katerina Maleeva, Belinda Cordwell
Zina Garrison, Elizabeth Minter
Gabriela Sabatini, Catherine Tanvier
Helena Sukova, Etsuko Inoue
Barbara Potter, Jo Anne Faull
Katrina Adams, Sylvia Hanika
Chris Evert, Akiko Kijimuta
Natalia Zvereva, Elna Reinach
Rosalyn Fairbank, Lori Mcneil
Larisa Savchenko, Julie Salmon
Martina Navratilova, Karen Schimper
Steffi Graf, Mary Joe Fernandez
Pascale Paradis Mangon, Anne Minter
Pam Shriver, Katerina Maleeva
Zina Garrison, Gabriela Sabatini
Helena Sukova, Barbara Potter
Chris Evert, Katrina Adams
Rosalyn Fairbank, Natalia Zvereva
Martina Navratilova, Larisa Savchenko
Steffi Graf, Pascale Paradis Mangon
Pam Shriver, Zina Garrison
Chris Evert, Helena Sukova
Martina Navratilova, Rosalyn Fairbank
Steffi Graf, Pam Shriver
Martina Navratilova, Chris Evert
Steffi Graf, Martina Navratilova
Steffi Graf, Elizabeth Minter
Manon Bollegraf, Isabelle Demongeot
Ronni Reis, Marianne Werdel Witmeyer
Nathalie Herreman, Kathy Rinaldi Stunkel
Nicole Jagerman, Katrina Adams
Patty Fendick, Rosalyn Fairbank
Ann Grossman, Brenda Schultz Mccarthy
Sylvia Hanika, Sara Gomer
Katerina Maleeva, Etsuko Inoue
Laxmi Poruri, Monique Javer
Andrea Holikova, Belinda Cordwell
Sandra Wasserman, Sandra Cecchini
Amy Frazier, Olga Tsarbopoulou
Ann Devries, Julie Halard Decugis
Dianne Fromholtz, Gigi Fernandez
Helena Sukova, Lisa Bonder Kreiss
Chris Evert, Conchita Martinez
Halle Cioffi, Laura Lapi
Michelle Torres, Masako Yanagi
Regina Rajchrtova, Petra Huber
Beth Herr, Mary Lou Piatek
Judith Wiesner, Jana Novotna
Natalia Egorova, Alexia Dechaume Balleret
Lori Mcneil, Iva Budarova
Barbara Potter, Wiltrud Probst
Robin White, Silke Frankl
Claudia Porwik, Melissa Gurney
Betsy Nagelsen, Camille Benjamin
Laura Garrone, Catherine Tanvier
Isabel Cueto, Lisa Green
Jennifer Santrock, Federica Bonsignori
Manuela Maleeva Fragniere, Neige Dias
Gabriela Sabatini, Bettina Fulco
Beverly Bowes, Akiko Kijimuta
Dianne Van Rensburg, Wendy White
Julie Richardson, Patricia Medrado
Iwona Kuczynska, Heather Ludloff
Stephanie Rehe, Kumiko Okamoto
Raffaella Reggi Concato, Jo Anne Faull
Claudia Kohde Kilsch, Angelika Kanellopoulou
Larisa Savchenko, Laura Golarsa
Elise Burgin, Eva Pfaff
Gretchen Magers, Silke Meier
Carling Bassett Seguso, Adriana Villagran Reami
Terry Phelps, Carrie Cunningham
Ann Henricksson, Debbie Graham
Leila Meskhi, Tine Scheuer Larsen
Pam Shriver, Anne Smith
Kim Steinmetz, Natalia Zvereva
Arantxa Sanchez Vicario, Kathrin Keil
Susan Sloane Lundy, Jo Durie
Catherine Suire, Karen Schimper
Jill Hetherington, Hu Na
Linda Ferrando, Christina Singer
Helen Kelesi, Carol Christian
Zina Garrison, Nicole Bradtke
Mary Joe Fernandez, Jenny Byrne
Nathalie Tauziat, Mareen Louie Harper
Mercedes Paz, Clare Wood
Elna Reinach, Radomira Zrubakova
Anne Minter, Wendy Turnbull
Sabrina Goles, Stacey Martin
Elly Hakami, Maria Lindstrom
Martina Navratilova, Catarina Lindqvist Ryan
Steffi Graf, Manon Bollegraf
Nathalie Herreman, Ronni Reis
Patty Fendick, Nicole Jagerman
Sylvia Hanika, Ann Grossman
Katerina Maleeva, Laxmi Poruri
Sandra Wasserman, Andrea Holikova
Amy Frazier, Ann Devries
Helena Sukova, Dianne Fromholtz
Chris Evert, Halle Cioffi
Michelle Torres, Regina Rajchrtova
Judith Wiesner, Beth Herr
Lori Mcneil, Natalia Egorova
Barbara Potter, Robin White
Betsy Nagelsen, Claudia Porwik
Isabel Cueto, Laura Garrone
Manuela Maleeva Fragniere, Jennifer Santrock
Gabriela Sabatini, Beverly Bowes
Julie Richardson, Dianne Van Rensburg
Stephanie Rehe, Iwona Kuczynska
Claudia Kohde Kilsch, Raffaella Reggi Concato
Larisa Savchenko, Elise Burgin
Carling Bassett Seguso, Gretchen Magers
Terry Phelps, Ann Henricksson
Leila Meskhi, Pam Shriver
Arantxa Sanchez Vicario, Kim Steinmetz
Susan Sloane Lundy, Catherine Suire
Jill Hetherington, Linda Ferrando
Zina Garrison, Helen Kelesi
Mary Joe Fernandez, Nathalie Tauziat
Elna Reinach, Mercedes Paz
Anne Minter, Sabrina Goles
Martina Navratilova, Elly Hakami
Steffi Graf, Nathalie Herreman
Patty Fendick, Sylvia Hanika
Katerina Maleeva, Sandra Wasserman
Helena Sukova, Amy Frazier
Chris Evert, Michelle Torres
Judith Wiesner, Lori Mcneil
Barbara Potter, Betsy Nagelsen
Manuela Maleeva Fragniere, Isabel Cueto
Gabriela Sabatini, Julie Richardson
Stephanie Rehe, Claudia Kohde Kilsch
Larisa Savchenko, Carling Bassett Seguso
Terry Phelps, Leila Meskhi
